trade_date,code,name,market,market_name,sector_name,close,change,change_rate,open,high,low,volume,trading_value,market_cap,listed_shares,isu_cd,source_market
2023-12-01,095570,AJ네트웍스,KOSPI,KOSPI,-,4505.0,185.0,4.28,4350.0,4530.0,4305.0,370243.0,1654213940.0,203863679295.0,45252759.0,095570,KOSPI
2023-12-01,006840,AK홀딩스,KOSPI,KOSPI,-,17740.0,-60.0,-0.34,17800.0,17970.0,17400.0,4225.0,74447290.0,235011732140.0,13247561.0,006840,KOSPI
2023-12-01,027410,BGF,KOSPI,KOSPI,-,3720.0,105.0,2.9,3690.0,4050.0,3640.0,2656314.0,10345364930.0,356066462520.0,95716791.0,027410,KOSPI
2023-12-01,282330,BGF리테일,KOSPI,KOSPI,-,136900.0,1200.0,0.88,136600.0,141400.0,136600.0,140282.0,19422970000.0,2366166731400.0,17283906.0,282330,KOSPI
2023-12-01,138930,BNK금융지주,KOSPI,KOSPI,-,7160.0,-10.0,-0.14,7170.0,7190.0,7150.0,331116.0,2372838180.0,2306153216080.0,322088438.0,138930,KOSPI
2023-12-01,001460,BYC,KOSPI,KOSPI,-,406000.0,-6500.0,-1.58,402500.0,424000.0,402500.0,162.0,66500000.0,253593690000.0,624615.0,001460,KOSPI
2023-12-01,001465,BYC우,KOSPI,KOSPI,-,139300.0,900.0,0.65,138100.0,139500.0,138100.0,105.0,14503100.0,30003130500.0,215385.0,001465,KOSPI
2023-12-01,001040,CJ,KOSPI,KOSPI,-,91000.0,-1000.0,-1.09,91800.0,92700.0,90600.0,65065.0,5958107800.0,2655106818000.0,29176998.0,001040,KOSPI
2023-12-01,079160,CJ CGV,KOSPI,KOSPI,-,5490.0,-70.0,-1.26,5560.0,5640.0,5460.0,569041.0,3140059430.0,672147891900.0,122431310.0,079160,KOSPI
2023-12-01,00104K,CJ4우(전환),KOSPI,KOSPI,-,70300.0,-900.0,-1.26,71200.0,71600.0,70300.0,1081.0,76286300.0,297123793600.0,4226512.0,00104K,KOSPI
2023-12-01,000120,CJ대한통운,KOSPI,KOSPI,-,113800.0,700.0,0.62,114000.0,121000.0,112200.0,406167.0,47426282700.0,2596044747200.0,22812344.0,000120,KOSPI
2023-12-01,011150,CJ씨푸드,KOSPI,KOSPI,-,2870.0,15.0,0.53,2830.0,2905.0,2795.0,128916.0,368260010.0,103121318510.0,35930773.0,011150,KOSPI
2023-12-01,011155,CJ씨푸드1우,KOSPI,KOSPI,-,25800.0,2800.0,12.17,24000.0,26400.0,23050.0,8365.0,208327800.0,5160000000.0,200000.0,011155,KOSPI
2023-12-01,001045,CJ우,KOSPI,KOSPI,-,49350.0,50.0,0.1,49300.0,49550.0,49300.0,1238.0,61179850.0,111542005050.0,2260223.0,001045,KOSPI
2023-12-01,097950,CJ제일제당,KOSPI,KOSPI,-,311500.0,2500.0,0.81,309000.0,320500.0,308500.0,22661.0,7090861000.0,4689378939000.0,15054186.0,097950,KOSPI
2023-12-01,097955,CJ제일제당 우,KOSPI,KOSPI,-,132400.0,-800.0,-0.6,133200.0,134500.0,132400.0,2888.0,384191700.0,175752129200.0,1327433.0,097955,KOSPI
2023-12-01,000480,CR홀딩스,KOSPI,KOSPI,-,6630.0,-30.0,-0.45,6650.0,6690.0,6540.0,61293.0,404413980.0,310883948700.0,46890490.0,000480,KOSPI
2023-12-01,000590,CS홀딩스,KOSPI,KOSPI,-,60000.0,100.0,0.17,59900.0,60000.0,59200.0,552.0,32921600.0,69268920000.0,1154482.0,000590,KOSPI
2023-12-01,012030,DB,KOSPI,KOSPI,-,1770.0,27.0,1.55,1751.0,1780.0,1711.0,866104.0,1514198519.0,356077861410.0,201173933.0,012030,KOSPI
2023-12-01,016610,DB금융투자,KOSPI,KOSPI,-,3955.0,0.0,0.0,3935.0,3965.0,3915.0,19204.0,75608125.0,167875468495.0,42446389.0,016610,KOSPI
2023-12-01,005830,DB손해보험,KOSPI,KOSPI,-,82000.0,-1700.0,-2.03,82900.0,83600.0,82000.0,60979.0,5030018900.0,5805600000000.0,70800000.0,005830,KOSPI
