code,name,naver_label
011150,CJ씨푸드,구제역/광우병 수혜
006040,동원산업,구제역/광우병 수혜
136480,하림,구제역/광우병 수혜
004970,신라교역,구제역/광우병 수혜
005860,한일사료,구제역/광우병 수혜
088910,동우팜투테이블,구제역/광우병 수혜
014580,태경비케이,구제역/광우병 수혜
036480,대성미생물,구제역/광우병 수혜
006090,사조오양,구제역/광우병 수혜
027740,마니커,구제역/광우병 수혜
003680,한성기업,구제역/광우병 수혜
027710,팜스토리,구제역/광우병 수혜
208140,정다운,구제역/광우병 수혜
003960,사조대림,구제역/광우병 수혜
018620,우진비앤지,구제역/광우병 수혜
007160,사조산업,구제역/광우병 수혜
008770,호텔신라,호텔/리조트
006730,서부T&D,호텔/리조트
034230,파라다이스,호텔/리조트
007720,소노스퀘어,호텔/리조트
035250,강원랜드,호텔/리조트
025980,아난티,호텔/리조트
194370,제이에스코퍼레이션,호텔/리조트
499790,GS피앤엘,호텔/리조트
001740,SK네트웍스,호텔/리조트
070960,모나용평,호텔/리조트
294870,HDC현대산업개발,호텔/리조트
139480,이마트,호텔/리조트
032350,롯데관광개발,호텔/리조트
000880,한화,호텔/리조트
010950,S-Oil,윤활유
014530,극동유화,윤활유
002960,한국쉘석유,윤활유
024060,흥구석유,윤활유
096770,SK이노베이션,윤활유
078930,GS,윤활유
003650,미창석유,윤활유
008770,호텔신라,소매유통
004170,신세계,소매유통
362320,청담글로벌,소매유통
282330,BGF리테일,소매유통
023530,롯데쇼핑,소매유통
071840,롯데하이마트,소매유통
035080,그래디언트,소매유통
057050,현대홈쇼핑,소매유통
069960,현대백화점,소매유통
007070,GS리테일,소매유통
415380,스튜디오삼익,소매유통
037710,광주신세계,소매유통
452260,한화갤러리아,소매유통
067830,세이브존I&C,소매유통
006370,대구백화점,소매유통
035760,CJ ENM,소매유통
139480,이마트,소매유통
051160,지어소프트,소매유통
069920,엑시온그룹,소매유통
342870,오아,소매유통
123750,알톤,자전거
024950,삼천리자전거,자전거
065450,빅텍,자전거
464440,한국제13호스팩,기업인수목적회사(SPAC)
469880,하나30호스팩,기업인수목적회사(SPAC)
473050,유안타제15호스팩,기업인수목적회사(SPAC)
474490,유안타제16호스팩,기업인수목적회사(SPAC)
444920,유안타제11호스팩,기업인수목적회사(SPAC)
000071,삼성스팩11호,기업인수목적회사(SPAC)
468760,유진스팩10호,기업인수목적회사(SPAC)
469480,IBKS제24호스팩,기업인수목적회사(SPAC)
469900,하나31호스팩,기업인수목적회사(SPAC)
471050,대신밸런스제17호스팩,기업인수목적회사(SPAC)
472220,신영스팩10호,기업인수목적회사(SPAC)
472230,에스케이증권제11호스팩,기업인수목적회사(SPAC)
473370,비엔케이제2호스팩,기업인수목적회사(SPAC)
474660,신한제12호스팩,기업인수목적회사(SPAC)
474930,신한제13호스팩,기업인수목적회사(SPAC)
475240,하나32호스팩,기업인수목적회사(SPAC)
475250,하나33호스팩,기업인수목적회사(SPAC)
477340,에이치엠씨제7호스팩,기업인수목적회사(SPAC)
477760,DB금융스팩12호,기업인수목적회사(SPAC)
478110,이베스트스팩6호,기업인수목적회사(SPAC)
