trade_date,code,name,market,market_name,sector_name,close,change,change_rate,open,high,low,volume,trading_value,market_cap,listed_shares,isu_cd,source_market
2025-01-17,095570,AJ네트웍스,KOSPI,KOSPI,-,4070.0,-85.0,-2.05,4130.0,4170.0,4070.0,248629.0,1018647540.0,184178729130.0,45252759.0,095570,KOSPI
2025-01-17,006840,AK홀딩스,KOSPI,KOSPI,-,9990.0,-70.0,-0.7,10140.0,10140.0,9990.0,11752.0,118219610.0,132343134390.0,13247561.0,006840,KOSPI
2025-01-17,027410,BGF,KOSPI,KOSPI,-,3390.0,-25.0,-0.73,3435.0,3445.0,3390.0,70934.0,241146520.0,324479921490.0,95716791.0,027410,KOSPI
2025-01-17,282330,BGF리테일,KOSPI,KOSPI,-,104100.0,2600.0,2.56,101500.0,105000.0,101500.0,65253.0,6786032800.0,1799254614600.0,17283906.0,282330,KOSPI
2025-01-17,138930,BNK금융지주,KOSPI,KOSPI,-,11360.0,-210.0,-1.82,11570.0,11750.0,11290.0,735665.0,8416490250.0,3640161218720.0,320436727.0,138930,KOSPI
2025-01-17,001460,BYC,KOSPI,KOSPI,-,29200.0,-300.0,-1.02,30100.0,30100.0,28950.0,1849.0,54391200.0,182387580000.0,6246150.0,001460,KOSPI
2025-01-17,001465,BYC우,KOSPI,KOSPI,-,12880.0,-80.0,-0.62,12720.0,12910.0,12710.0,365.0,4670480.0,27741588000.0,2153850.0,001465,KOSPI
2025-01-17,001040,CJ,KOSPI,KOSPI,-,98100.0,1700.0,1.76,96400.0,99600.0,96000.0,80861.0,7948110900.0,2862263503800.0,29176998.0,001040,KOSPI
2025-01-17,079160,CJ CGV,KOSPI,KOSPI,-,5220.0,-10.0,-0.19,5230.0,5240.0,5180.0,68293.0,355527670.0,864328398660.0,165580153.0,079160,KOSPI
2025-01-17,00104K,CJ4우(전환),KOSPI,KOSPI,-,78600.0,700.0,0.9,77900.0,78900.0,77500.0,3562.0,278983900.0,332203843200.0,4226512.0,00104K,KOSPI
2025-01-17,000120,CJ대한통운,KOSPI,KOSPI,-,80600.0,-300.0,-0.37,80600.0,81700.0,80300.0,60543.0,4894281800.0,1838674926400.0,22812344.0,000120,KOSPI
2025-01-17,011150,CJ씨푸드,KOSPI,KOSPI,-,3020.0,-5.0,-0.17,3005.0,3060.0,2995.0,132831.0,401082405.0,108510934460.0,35930773.0,011150,KOSPI
2025-01-17,011155,CJ씨푸드1우,KOSPI,KOSPI,-,17900.0,-190.0,-1.05,18060.0,18060.0,17870.0,1835.0,32940050.0,3580000000.0,200000.0,011155,KOSPI
2025-01-17,001045,CJ우,KOSPI,KOSPI,-,57600.0,400.0,0.7,57300.0,57900.0,57300.0,1004.0,57670800.0,130188844800.0,2260223.0,001045,KOSPI
2025-01-17,097950,CJ제일제당,KOSPI,KOSPI,-,242500.0,1500.0,0.62,241000.0,245000.0,241000.0,38826.0,9432108500.0,3650640105000.0,15054186.0,097950,KOSPI
2025-01-17,097955,CJ제일제당 우,KOSPI,KOSPI,-,125600.0,300.0,0.24,125800.0,126000.0,125300.0,767.0,96411300.0,166725584800.0,1327433.0,097955,KOSPI
2025-01-17,000480,CR홀딩스,KOSPI,KOSPI,-,5630.0,40.0,0.72,5600.0,5630.0,5560.0,5338.0,29901390.0,263993458700.0,46890490.0,000480,KOSPI
2025-01-17,000590,CS홀딩스,KOSPI,KOSPI,-,66800.0,-400.0,-0.6,67500.0,67500.0,65700.0,404.0,26781800.0,77119397600.0,1154482.0,000590,KOSPI
2025-01-17,012030,DB,KOSPI,KOSPI,-,1247.0,-10.0,-0.8,1263.0,1263.0,1245.0,221509.0,276691096.0,250863894451.0,201173933.0,012030,KOSPI
2025-01-17,016610,DB금융투자,KOSPI,KOSPI,-,5320.0,50.0,0.95,5250.0,5340.0,5250.0,23747.0,125723810.0,225814789480.0,42446389.0,016610,KOSPI
2025-01-17,005830,DB손해보험,KOSPI,KOSPI,-,93800.0,-1800.0,-1.88,95500.0,96100.0,92900.0,198693.0,18667013632.0,6641040000000.0,70800000.0,005830,KOSPI
2025-01-17,000990,DB하이텍,KOSPI,KOSPI,-,33650.0,150.0,0.45,33600.0,33850.0,33400.0,83083.0,2787231150.0,1494012486200.0,44398588.0,000990,KOSPI
2025-01-17,139130,DGB금융지주,KOSPI,KOSPI,-,8890.0,20.0,0.23,8790.0,9040.0,8790.0,588278.0,5255249180.0,1503706455370.0,169145833.0,139130,KOSPI
2025-01-17,001530,DI동일,KOSPI,KOSPI,-,49950.0,-50.0,-0.1,50000.0,50000.0,49650.0,72397.0,3606106650.0,1070594433900.0,21433322.0,001530,KOSPI
2025-01-17,000210,DL,KOSPI,KOSPI,-,31000.0,-250.0,-0.8,31000.0,31300.0,30850.0,15240.0,472699000.0,649632404000.0,20955884.0,000210,KOSPI
2025-01-17,000215,DL우,KOSPI,KOSPI,-,19380.0,-320.0,-1.62,19690.0,19700.0,19360.0,1287.0,25059970.0,32676908700.0,1686115.0,000215,KOSPI
2025-01-17,375500,DL이앤씨,KOSPI,KOSPI,-,30700.0,-600.0,-1.92,31350.0,31350.0,30350.0,142930.0,4394370850.0,1187894226100.0,38693623.0,375500,KOSPI
2025-01-17,37550L,DL이앤씨2우(전환),KOSPI,KOSPI,-,20350.0,-250.0,-1.21,20850.0,21000.0,20350.0,1687.0,34717150.0,42978202850.0,2111951.0,37550L,KOSPI
2025-01-17,37550K,DL이앤씨우,KOSPI,KOSPI,-,15710.0,10.0,0.06,15700.0,15900.0,15700.0,1213.0,19066650.0,33209133350.0,2113885.0,37550K,KOSPI
