trade_date,code,name,market,market_name,sector_name,close,change,change_rate,open,high,low,volume,trading_value,market_cap,listed_shares,isu_cd,source_market
2024-03-06,095570,AJ네트웍스,KOSPI,KOSPI,-,4560.0,-15.0,-0.33,4580.0,4650.0,4500.0,68502.0,312459660.0,206352581040.0,45252759.0,095570,KOSPI
2024-03-06,006840,AK홀딩스,KOSPI,KOSPI,-,15940.0,-100.0,-0.62,16040.0,16040.0,15900.0,6177.0,98656270.0,211166122340.0,13247561.0,006840,KOSPI
2024-03-06,027410,BGF,KOSPI,KOSPI,-,3820.0,-35.0,-0.91,3850.0,3885.0,3800.0,108158.0,413243185.0,365638141620.0,95716791.0,027410,KOSPI
2024-03-06,282330,BGF리테일,KOSPI,KOSPI,-,130400.0,400.0,0.31,129900.0,132000.0,129600.0,34435.0,4513296900.0,2253821342400.0,17283906.0,282330,KOSPI
2024-03-06,138930,BNK금융지주,KOSPI,KOSPI,-,7690.0,90.0,1.18,7590.0,7750.0,7570.0,1558272.0,11956552270.0,2476860088220.0,322088438.0,138930,KOSPI
2024-03-06,001460,BYC,KOSPI,KOSPI,-,503000.0,10500.0,2.13,505000.0,510000.0,466000.0,2770.0,1356918500.0,314181345000.0,624615.0,001460,KOSPI
2024-03-06,001465,BYC우,KOSPI,KOSPI,-,177000.0,100.0,0.06,176900.0,185000.0,168000.0,2824.0,502594700.0,38123145000.0,215385.0,001465,KOSPI
2024-03-06,001040,CJ,KOSPI,KOSPI,-,96600.0,0.0,0.0,96600.0,97600.0,95000.0,83610.0,8059895800.0,2818498006800.0,29176998.0,001040,KOSPI
2024-03-06,079160,CJ CGV,KOSPI,KOSPI,-,5790.0,-100.0,-1.7,5870.0,5890.0,5770.0,519432.0,3017860050.0,708880266750.0,122431825.0,079160,KOSPI
2024-03-06,00104K,CJ4우(전환),KOSPI,KOSPI,-,75300.0,0.0,0.0,75300.0,75600.0,74500.0,3346.0,251206300.0,318256353600.0,4226512.0,00104K,KOSPI
2024-03-06,000120,CJ대한통운,KOSPI,KOSPI,-,132700.0,-1400.0,-1.04,134200.0,134300.0,130400.0,85715.0,11358810700.0,3027198048800.0,22812344.0,000120,KOSPI
2024-03-06,011150,CJ씨푸드,KOSPI,KOSPI,-,2685.0,-20.0,-0.74,2695.0,2715.0,2675.0,63516.0,171102480.0,96474125505.0,35930773.0,011150,KOSPI
2024-03-06,011155,CJ씨푸드1우,KOSPI,KOSPI,-,20800.0,-200.0,-0.95,20800.0,20800.0,20800.0,100.0,2080000.0,4160000000.0,200000.0,011155,KOSPI
2024-03-06,001045,CJ우,KOSPI,KOSPI,-,55800.0,0.0,0.0,55800.0,56100.0,55300.0,1465.0,81648000.0,126120443400.0,2260223.0,001045,KOSPI
2024-03-06,097950,CJ제일제당,KOSPI,KOSPI,-,289500.0,-1500.0,-0.52,291000.0,292500.0,286000.0,29758.0,8582852000.0,4358186847000.0,15054186.0,097950,KOSPI
2024-03-06,097955,CJ제일제당 우,KOSPI,KOSPI,-,134000.0,1300.0,0.98,132700.0,135000.0,132300.0,1024.0,136945500.0,177876022000.0,1327433.0,097955,KOSPI
2024-03-06,000480,CR홀딩스,KOSPI,KOSPI,-,6310.0,80.0,1.28,6230.0,6320.0,6220.0,18178.0,113823910.0,295878991900.0,46890490.0,000480,KOSPI
2024-03-06,000590,CS홀딩스,KOSPI,KOSPI,-,65000.0,400.0,0.62,65000.0,66000.0,64400.0,971.0,62950500.0,75041330000.0,1154482.0,000590,KOSPI
2024-03-06,012030,DB,KOSPI,KOSPI,-,1551.0,-3.0,-0.19,1541.0,1553.0,1537.0,286172.0,441976391.0,312020770083.0,201173933.0,012030,KOSPI
2024-03-06,016610,DB금융투자,KOSPI,KOSPI,-,4475.0,5.0,0.11,4470.0,4500.0,4425.0,37045.0,164601925.0,189947590775.0,42446389.0,016610,KOSPI
2024-03-06,005830,DB손해보험,KOSPI,KOSPI,-,96100.0,-1900.0,-1.94,97000.0,97700.0,95200.0,188493.0,18144857500.0,6803880000000.0,70800000.0,005830,KOSPI
2024-03-06,000990,DB하이텍,KOSPI,KOSPI,-,45800.0,-800.0,-1.72,46550.0,46850.0,45500.0,269342.0,12397789450.0,2033455330400.0,44398588.0,000990,KOSPI
