종목명,현재가,전일비,등락률,거래량,거래대금,market,code
삼성전자,"104,500","상승1,100",+1.06%,"14,530,881",,KOSPI,005930
SK하이닉스,"552,000","하락6,000",-1.08%,"2,562,099",,KOSPI,000660
LG에너지솔루션,"418,000","상승3,000",+0.72%,"231,552",,KOSPI,373220
삼성바이오로직스,"1,654,000",보합0,0.00%,"44,310",,KOSPI,207940
삼성전자우,"78,100",상승200,+0.26%,"1,851,417",,KOSPI,005935
현대차,"266,500",상승500,+0.19%,"483,994",,KOSPI,005380
KB금융,"131,700",하락300,-0.23%,"1,087,707",,KOSPI,105560
두산에너빌리티,"78,400","상승3,400",+4.53%,"3,892,884",,KOSPI,034020
HD현대중공업,"534,000","상승14,000",+2.69%,"94,282",,KOSPI,329180
기아,"118,600","상승1,600",+1.37%,"1,065,618",,KOSPI,000270
한화에어로스페이스,"866,000","상승42,000",+5.10%,"263,660",,KOSPI,012450
셀트리온,"183,300",하락900,-0.49%,"393,784",,KOSPI,068270
삼성물산,"245,500","상승21,000",+9.35%,"934,576",,KOSPI,028260
SK스퀘어,"310,500","상승2,000",+0.65%,"288,129",,KOSPI,402340
신한지주,"79,900","하락1,500",-1.84%,"1,198,843",,KOSPI,055550
NAVER,"246,500","상승3,500",+1.44%,"630,018",,KOSPI,035420
한화오션,"108,200","상승2,100",+1.98%,"813,697",,KOSPI,042660
한국전력,"51,000",상승100,+0.20%,"2,620,308",,KOSPI,015760
삼성생명,"156,500","상승1,100",+0.71%,"230,981",,KOSPI,032830
HD한국조선해양,"423,000","상승10,000",+2.42%,"122,347",,KOSPI,009540
HD현대일렉트릭,"820,000","상승39,000",+4.99%,"181,990",,KOSPI,267260
현대모비스,"319,500","상승2,500",+0.79%,"208,006",,KOSPI,012330
LG화학,"380,000","상승8,500",+2.29%,"193,648",,KOSPI,051910
카카오,"60,600","상승1,100",+1.85%,"2,238,973",,KOSPI,035720
하나금융지주,"96,000","하락1,300",-1.34%,"532,682",,KOSPI,086790
고려아연,"1,311,000","하락8,000",-0.61%,"18,114",,KOSPI,010130
POSCO홀딩스,"308,500",하락500,-0.16%,"164,280",,KOSPI,005490
삼성SDI,"305,000",보합0,0.00%,"224,504",,KOSPI,006400
삼성화재,"493,500","하락3,500",-0.70%,"70,792",,KOSPI,000810
삼성중공업,"24,700",상승200,+0.82%,"2,073,087",,KOSPI,010140
우리금융지주,"28,500",하락500,-1.72%,"1,772,596",,KOSPI,316140
SK이노베이션,"115,900",상승400,+0.35%,"139,733",,KOSPI,096770
삼성전기,"261,000","상승9,000",+3.57%,"598,750",,KOSPI,009150
메리츠금융지주,"110,800","상승1,000",+0.91%,"168,352",,KOSPI,138040
SK,"267,000","상승8,500",+3.29%,"240,946",,KOSPI,034730
현대로템,"174,600","상승5,100",+3.01%,"633,329",,KOSPI,064350
HMM,"20,150",보합0,0.00%,"914,819",,KOSPI,011200
포스코퓨처엠,"206,000","하락1,500",-0.72%,"140,415",,KOSPI,003670
효성중공업,"1,895,000","상승34,000",+1.83%,"34,032",,KOSPI,298040
KT&G,"144,700",하락100,-0.07%,"166,315",,KOSPI,033780
기업은행,"20,850",하락250,-1.18%,"1,241,257",,KOSPI,024110
HD현대,"200,500","상승10,100",+5.30%,"274,467",,KOSPI,267250
LG전자,"89,500","상승2,300",+2.64%,"568,024",,KOSPI,066570
두산,"896,000","상승44,000",+5.16%,"108,132",,KOSPI,000150
