종목명,현재가,전일비,등락률,거래량,거래대금,market,code
삼성전자,"100,800",상승300,+0.30%,"10,905,526",,KOSPI,005930
SK하이닉스,"538,000","상승8,000",+1.51%,"3,134,704",,KOSPI,000660
LG에너지솔루션,"413,000","상승5,000",+1.23%,"286,573",,KOSPI,373220
삼성바이오로직스,"1,649,000","상승42,000",+2.61%,"54,392",,KOSPI,207940
삼성전자우,"76,300","상승1,300",+1.73%,"1,490,043",,KOSPI,005935
현대차,"254,500","하락7,000",-2.68%,"555,473",,KOSPI,005380
KB금융,"126,300","상승1,500",+1.20%,"810,275",,KOSPI,105560
두산에너빌리티,"74,900","하락1,500",-1.96%,"2,242,179",,KOSPI,034020
HD현대중공업,"515,000","하락20,000",-3.74%,"224,599",,KOSPI,329180
기아,"112,300","하락1,800",-1.58%,"690,993",,KOSPI,000270
셀트리온,"185,800",상승200,+0.11%,"399,280",,KOSPI,068270
한화에어로스페이스,"813,000","하락39,000",-4.58%,"270,803",,KOSPI,012450
SK스퀘어,"302,000","상승4,000",+1.34%,"423,148",,KOSPI,402340
신한지주,"79,700","상승1,700",+2.18%,"1,074,044",,KOSPI,055550
삼성물산,"226,500","상승1,500",+0.67%,"189,135",,KOSPI,028260
NAVER,"243,000","하락1,000",-0.41%,"666,662",,KOSPI,035420
한화오션,"105,000","하락2,800",-2.60%,"1,316,451",,KOSPI,042660
한국전력,"50,100","하락2,400",-4.57%,"4,689,171",,KOSPI,015760
삼성생명,"153,800",상승900,+0.59%,"146,660",,KOSPI,032830
HD한국조선해양,"403,000","하락7,000",-1.71%,"240,157",,KOSPI,009540
현대모비스,"303,500","하락6,000",-1.94%,"140,222",,KOSPI,012330
HD현대일렉트릭,"746,000","하락29,000",-3.74%,"173,891",,KOSPI,267260
고려아연,"1,368,000","상승26,000",+1.94%,"34,872",,KOSPI,010130
카카오,"59,500",상승800,+1.36%,"1,800,074",,KOSPI,035720
하나금융지주,"94,400","상승1,100",+1.18%,"543,658",,KOSPI,086790
LG화학,"372,000","하락2,000",-0.53%,"213,121",,KOSPI,051910
POSCO홀딩스,"309,000",하락500,-0.16%,"145,980",,KOSPI,005490
삼성SDI,"299,000",하락500,-0.17%,"255,242",,KOSPI,006400
삼성화재,"502,000","상승20,500",+4.26%,"88,155",,KOSPI,000810
삼성중공업,"24,200",하락400,-1.63%,"2,925,839",,KOSPI,010140
우리금융지주,"27,450",상승900,+3.39%,"2,937,307",,KOSPI,316140
SK이노베이션,"114,600",하락400,-0.35%,"164,925",,KOSPI,096770
메리츠금융지주,"108,700",상승100,+0.09%,"167,990",,KOSPI,138040
HMM,"19,980",상승840,+4.39%,"2,761,859",,KOSPI,011200
삼성전기,"250,000","하락1,000",-0.40%,"544,242",,KOSPI,009150
현대로템,"170,400","하락5,300",-3.02%,"596,073",,KOSPI,064350
포스코퓨처엠,"209,000","상승2,500",+1.21%,"289,732",,KOSPI,003670
SK,"253,000","하락12,500",-4.71%,"247,963",,KOSPI,034730
KT&G,"143,500","하락2,000",-1.37%,"176,245",,KOSPI,033780
효성중공업,"1,806,000","하락95,000",-5.00%,"80,698",,KOSPI,298040
기업은행,"20,700",상승150,+0.73%,"617,834",,KOSPI,024110
HD현대,"188,300","하락8,200",-4.17%,"265,176",,KOSPI,267250
LG전자,"85,400",하락200,-0.23%,"428,509",,KOSPI,066570
두산,"833,000","하락43,000",-4.91%,"106,391",,KOSPI,000150
LS ELECTRIC,"443,000","하락17,000",-3.70%,"157,852",,KOSPI,010120
삼성에스디에스,"169,700","상승1,200",+0.71%,"82,717",,KOSPI,018260
KT,"50,400",보합0,0.00%,"123,176",,KOSPI,030200
미래에셋증권,"21,900",상승50,+0.23%,"2,401,029",,KOSPI,006800
하이브,"292,000","하락7,500",-2.50%,"141,298",,KOSPI,352820
LG,"79,300",상승500,+0.63%,"185,392",,KOSPI,003550
현대글로비스,"163,000","하락1,400",-0.85%,"130,264",,KOSPI,086280
크래프톤,"252,000","하락5,500",-2.14%,"61,514",,KOSPI,259960
TIGER 미국S&P500,"24,850",하락110,-0.44%,"4,765,406",,KOSPI,360750
한미반도체,"121,700","하락1,900",-1.54%,"796,738",,KOSPI,042700
SK텔레콤,"53,500",보합0,0.00%,"365,995",,KOSPI,017670
SK바이오팜,"137,900","하락1,900",-1.36%,"285,288",,KOSPI,326030
KODEX 200,"55,575",하락75,-0.13%,"7,303,454",,KOSPI,069500
한국항공우주,"107,000","하락1,900",-1.74%,"469,909",,KOSPI,047810
카카오뱅크,"21,650",보합0,0.00%,"491,113",,KOSPI,323410
삼양식품,"1,346,000","하락99,000",-6.85%,"142,030",,KOSPI,003230
이수페타시스,"135,300","하락8,700",-6.04%,"2,086,371",,KOSPI,007660
삼성에피스홀딩스,"398,000","하락31,000",-7.23%,"874,677",,KOSPI,0126Z0
유한양행,"121,900",하락100,-0.08%,"263,880",,KOSPI,000100
에이피알,"252,500","하락3,000",-1.17%,"357,740",,KOSPI,278470
포스코인터내셔널,"53,300",하락300,-0.56%,"225,680",,KOSPI,047050
DB손해보험,"127,200","상승2,700",+2.17%,"176,793",,KOSPI,005830
KODEX 머니마켓액티브,"104,325",상승10,+0.01%,"589,139",,KOSPI,488770
HD현대미포,"223,000",보합0,0.00%,0,,KOSPI,010620
한국금융지주,"159,300","하락1,100",-0.69%,"159,355",,KOSPI,071050
S-Oil,"77,900","상승1,200",+1.56%,"228,697",,KOSPI,010950
KODEX CD금리액티브(합성),"1,073,455",상승75,+0.01%,"122,004",,KOSPI,459580
한화시스템,"45,350",하락850,-1.84%,"799,218",,KOSPI,272210
HD현대마린솔루션,"181,500","하락4,600",-2.47%,"108,357",,KOSPI,443060
LIG넥스원,"368,000","하락15,000",-3.92%,"156,239",,KOSPI,079550
대한항공,"21,950",상승100,+0.46%,"742,785",,KOSPI,003490
한국타이어앤테크놀로지,"60,100","하락1,400",-2.28%,"172,462",,KOSPI,161390
NH투자증권,"20,650",보합0,0.00%,"311,758",,KOSPI,005940
아모레퍼시픽,"125,400","상승1,100",+0.88%,"140,031",,KOSPI,090430
키움증권,"270,500","하락2,500",-0.92%,"81,372",,KOSPI,039490
현대건설,"64,100","하락2,900",-4.33%,"1,101,307",,KOSPI,000720
삼성증권,"79,300",상승500,+0.63%,"206,796",,KOSPI,016360
TIGER 미국나스닥100,"164,360",하락640,-0.39%,"409,381",,KOSPI,133690
한진칼,"101,800",하락600,-0.59%,"36,419",,KOSPI,180640
현대차2우B,"191,800","하락2,900",-1.49%,"133,758",,KOSPI,005387
카카오페이,"49,150",하락450,-0.91%,"386,819",,KOSPI,377300
KODEX 미국S&P500,"22,750",하락135,-0.59%,"3,134,330",,KOSPI,379800
LG유플러스,"15,240",상승180,+1.20%,"422,455",,KOSPI,032640
삼성카드,"54,700",하락200,-0.36%,"37,499",,KOSPI,029780
코웨이,"86,200",상승200,+0.23%,"165,541",,KOSPI,021240
LG디스플레이,"12,330",하락210,-1.67%,"1,288,139",,KOSPI,034220
한화,"78,900",하락500,-0.63%,"134,038",,KOSPI,000880
한미약품,"451,000","하락5,500",-1.20%,"101,900",,KOSPI,128940
LG이노텍,"237,500",상승500,+0.21%,"94,906",,KOSPI,011070
맥쿼리인프라,"11,690",상승170,+1.48%,"2,086,512",,KOSPI,088980
LG씨엔에스,"57,200",하락800,-1.38%,"490,689",,KOSPI,064400
LS,"173,900","하락5,000",-2.79%,"140,244",,KOSPI,006260
두산밥캣,"56,700","상승1,500",+2.72%,"247,115",,KOSPI,241560
현대오토에버,"196,800","하락5,200",-2.57%,"119,177",,KOSPI,307950
TIGER CD금리투자KIS(합성),"56,765",보합0,0.00%,"190,542",,KOSPI,357870
GS,"56,300",하락100,-0.18%,"139,390",,KOSPI,078930
CJ,"174,900","하락1,200",-0.68%,"79,956",,KOSPI,001040
엘앤에프,"128,100","상승2,900",+2.32%,"359,461",,KOSPI,066970
삼성E&A,"25,500",하락50,-0.20%,"701,256",,KOSPI,028050
두산로보틱스,"74,500","하락3,000",-3.87%,"405,805",,KOSPI,454910
BNK금융지주,"15,300",상승250,+1.66%,"981,692",,KOSPI,138930
한화솔루션,"27,700",하락250,-0.89%,"492,175",,KOSPI,009830
넷마블,"53,800",상승800,+1.51%,"134,379",,KOSPI,251270
JB금융지주,"24,250",상승150,+0.62%,"309,359",,KOSPI,175330
현대차우,"188,400","하락4,100",-2.13%,"200,430",,KOSPI,005385
엔씨소프트,"203,000","하락7,000",-3.33%,"130,486",,KOSPI,036570
KODEX 미국나스닥100,"24,655",하락95,-0.38%,"2,581,933",,KOSPI,379810
TIGER 200,"55,620",하락105,-0.19%,"2,363,704",,KOSPI,102110
LG생활건강,"276,000",하락500,-0.18%,"62,818",,KOSPI,051900
에코프로머티,"60,200","상승2,200",+3.79%,"360,179",,KOSPI,450080
오리온,"106,000",상승500,+0.47%,"119,684",,KOSPI,271560
KODEX KOFR금리액티브(합성),"110,640",상승10,+0.01%,"337,045",,KOSPI,423160
SK바이오사이언스,"53,400","하락1,400",-2.55%,"165,784",,KOSPI,302440
SKC,"109,200","하락2,000",-1.80%,"172,105",,KOSPI,011790
TIGER 미국테크TOP10 INDXX,"31,270",하락355,-1.12%,"2,227,253",,KOSPI,381170
산일전기,"134,000","하락9,400",-6.56%,"416,316",,KOSPI,062040
대한전선,"21,550",하락650,-2.93%,"2,350,834",,KOSPI,001440
현대제철,"30,050",하락150,-0.50%,"190,345",,KOSPI,004020
포스코DX,"25,900",상승500,+1.97%,"579,483",,KOSPI,022100
영원무역,"88,800","상승1,300",+1.49%,"95,138",,KOSPI,111770
강원랜드,"18,060",상승70,+0.39%,"414,706",,KOSPI,035250
한국가스공사,"41,250",하락250,-0.60%,"175,935",,KOSPI,036460
KCC,"418,500","상승1,500",+0.36%,"17,515",,KOSPI,002380
KODEX 200TR,"19,955",하락60,-0.30%,"865,019",,KOSPI,278530
서울보증보험,"50,500","상승1,200",+2.43%,"59,732",,KOSPI,031210
한화엔진,"41,500",하락700,-1.66%,"803,712",,KOSPI,082740
KODEX 종합채권(AA-이상)액티브,"115,890",하락165,-0.14%,"29,238",,KOSPI,273130
현대엘리베이터,"87,700",상승900,+1.04%,"393,460",,KOSPI,017800
한전기술,"89,600","하락2,400",-2.61%,"133,298",,KOSPI,052690
TIGER 머니마켓액티브,"101,000",상승5,0.00%,"90,960",,KOSPI,0043B0
ACE KRX금현물,"28,150",상승270,+0.97%,"2,515,062",,KOSPI,411060
TIGER 미국필라델피아반도체나스닥,"26,720",하락90,-0.34%,"1,221,099",,KOSPI,381180
CJ제일제당,"210,500","상승1,000",+0.48%,"42,540",,KOSPI,097950
KODEX 레버리지,"40,055",하락170,-0.42%,"21,457,035",,KOSPI,122630
롯데케미칼,"72,700",상승500,+0.69%,"87,359",,KOSPI,011170
금호석유화학,"116,600",하락300,-0.26%,"53,764",,KOSPI,011780
ACE 미국S&P500,"25,095",하락95,-0.38%,"857,967",,KOSPI,360200
한올바이오파마,"55,200","상승8,400",+17.95%,"3,611,571",,KOSPI,009420
에스원,"74,300",하락700,-0.93%,"18,810",,KOSPI,012750
롯데지주,"26,900",하락550,-2.00%,"287,045",,KOSPI,004990
한솔케미칼,"248,000","상승10,000",+4.20%,"60,716",,KOSPI,014680
DB하이텍,"64,500",상승900,+1.42%,"459,766",,KOSPI,000990
더존비즈온,"92,300",하락900,-0.97%,"125,392",,KOSPI,012510
HD현대인프라코어,"14,470",하락140,-0.96%,"915,229",,KOSPI,042670
F&F,"71,300","하락1,300",-1.79%,"48,879",,KOSPI,383220
풍산,"97,300","하락1,900",-1.92%,"78,589",,KOSPI,103140
동서,"27,250",하락150,-0.55%,"62,744",,KOSPI,026960
현대해상,"30,000",하락50,-0.17%,"291,535",,KOSPI,001450
한국앤컴퍼니,"28,200","하락1,650",-5.53%,"103,455",,KOSPI,000240
TIGER KOFR금리액티브(합성),"109,620",상승5,0.00%,"70,897",,KOSPI,449170
농심,"436,000","하락11,000",-2.46%,"36,309",,KOSPI,004370
한미사이언스,"38,700",하락150,-0.39%,"59,500",,KOSPI,008930
대한조선,"68,200",하락300,-0.44%,"292,476",,KOSPI,439260
제일기획,"22,800",상승150,+0.66%,"183,174",,KOSPI,030000
한화생명,"3,000",하락10,-0.33%,"1,092,895",,KOSPI,088350
미스토홀딩스,"43,250",상승500,+1.17%,"74,461",,KOSPI,081660
HD현대마린엔진,"76,300","하락1,200",-1.55%,"220,088",,KOSPI,071970
KODEX CD1년금리플러스액티브(합성),"1,021,630",상승60,+0.01%,"4,947",,KOSPI,481050
RISE 머니마켓액티브,"54,935",상승5,+0.01%,"213,895",,KOSPI,455890
일진전기,"51,800","하락3,100",-5.65%,"786,082",,KOSPI,103590
한온시스템,"3,625",하락140,-3.72%,"2,196,425",,KOSPI,018880
ACE 미국나스닥100,"28,255",하락145,-0.51%,"805,126",,KOSPI,367380
HL만도,"51,200","상승4,600",+9.87%,"2,133,921",,KOSPI,204320
대덕전자,"48,300",하락900,-1.83%,"1,332,732",,KOSPI,353200
한전KPS,"52,900",하락400,-0.75%,"124,828",,KOSPI,051600
SK아이이테크놀로지,"28,950",상승450,+1.58%,"109,144",,KOSPI,361610
iM금융지주,"14,400",상승100,+0.70%,"376,848",,KOSPI,139130
TIGER MSCI Korea TR,"23,985",상승120,+0.50%,"11,439",,KOSPI,310970
신영증권,"138,600","하락1,300",-0.93%,"17,762",,KOSPI,001720
시프트업,"38,400",보합0,0.00%,"49,214",,KOSPI,462870
코리안리,"11,600",상승10,+0.09%,"120,378",,KOSPI,003690
신세계,"234,000","상승16,500",+7.59%,"82,030",,KOSPI,004170
아모레퍼시픽홀딩스,"28,350",하락100,-0.35%,"89,246",,KOSPI,002790
영원무역홀딩스,"166,700",상승800,+0.48%,"13,549",,KOSPI,009970
ACE 미국30년국채액티브(H),"7,850",하락35,-0.44%,"1,584,177",,KOSPI,453850
TIGER 미국배당다우존스,"12,820",상승55,+0.43%,"1,009,829",,KOSPI,458730
한화비전,"44,150",상승800,+1.85%,"384,275",,KOSPI,489790
이마트,"79,900","상승1,700",+2.17%,"150,160",,KOSPI,139480
롯데에너지머티리얼즈,"42,100","상승3,000",+7.67%,"789,223",,KOSPI,020150
현대백화점,"97,200","상승6,000",+6.58%,"179,883",,KOSPI,069960
SK가스,"237,000","하락2,000",-0.84%,"9,553",,KOSPI,018670
RISE 200,"56,040",하락95,-0.17%,"1,040,803",,KOSPI,148020
CJ대한통운,"93,300","상승2,000",+2.19%,"78,355",,KOSPI,000120
효성,"126,800","하락3,900",-2.98%,"87,316",,KOSPI,004800
대웅제약,"182,000","상승5,700",+3.23%,"52,017",,KOSPI,069620
팬오션,"3,940",상승170,+4.51%,"3,357,861",,KOSPI,028670
롯데쇼핑,"73,500","상승2,000",+2.80%,"94,909",,KOSPI,023530
두산우,"514,000","하락22,000",-4.10%,"26,246",,KOSPI,000155
