trade_date,code,name,market,market_name,sector_name_x,close,change,change_rate,open,high,low,volume,trading_value,market_cap,listed_shares_x,isu_cd,source_market,stock_kind,sector_name_y,listed_shares_y,security_group,history_days,avg_trading_value,std_trading_value,avg_volume,std_volume,tv_ratio,tv_z,vol_ratio,vol_z,tv_z_rel,size_bucket,rank_overall,rank_in_bucket,is_top_bucket,pattern_label,signal_tone,signal_strength,market_tv_today,market_tv_mean,market_tv_std,market_tv_z,market_ret_today,market_ret_mean,market_ret_std,market_ret_z,market_regime,window_days,min_history_days
2023-03-14,225220,제놀루션,KOSDAQ,KOSDAQ,기술성장기업부,11230.0,-970.0,-7.95,13820.0,15680.0,11230.0,5441367.0,76763559850.0,110437425890.0,9834143.0,225220,KOSDAQ,보통주,기술성장기업부,9834143.0,주권,40,444905735.0,390725412.77951485,40411.4,33732.52550603623,172.5389308591403,195.32554479139134,134.64930687875204,160.11121370184782,194.86942155425706,small,1.0,1.0,True,normal,🟢,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
2023-03-14,103590,일진전기,KOSPI,KOSPI,-,5430.0,280.0,5.44,5090.0,6690.0,4825.0,20939001.0,129690424825.0,201346517700.0,37080390.0,103590,KOSPI,보통주,-,37080390.0,주권,40,1118724713.875,975016902.5028441,218664.75,186361.00880029626,115.92702227501776,131.86612435239292,95.75846587069933,111.18385966779044,131.41000111525864,small,2.0,2.0,True,boom_and_fade,🟢,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
2023-03-14,015860,일진홀딩스,KOSPI,KOSPI,-,4075.0,-140.0,-3.32,4160.0,5270.0,4000.0,15240946.0,73063510915.0,201090993225.0,49347483.0,015860,KOSPI,보통주,-,49347483.0,주권,40,659251250.375,722827196.7285168,155344.025,166728.45797091248,110.8280202327102,100.16814529437106,98.11092509029555,90.48006656207329,99.7120220572368,small,3.0,3.0,True,normal,🟢,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
2023-03-14,101330,모베이스,KOSDAQ,KOSDAQ,중견기업부,3755.0,460.0,13.96,3295.0,4065.0,3140.0,4593196.0,17604473655.0,89962995940.0,23958188.0,101330,KOSDAQ,보통주,중견기업부,23958188.0,주권,40,293202877.75,225051815.72816852,83972.5,62796.15499539066,60.04195385152559,76.92126687020212,54.698812111107806,71.80731846290564,76.46514363306785,small,4.0,4.0,True,normal,🔴,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
2023-03-14,037370,EG,KOSDAQ,KOSDAQ,중견기업부,11330.0,1760.0,18.39,9690.0,11990.0,9680.0,10026779.0,113863764960.0,97720932760.0,8624972.0,037370,KOSDAQ,보통주,중견기업부,8624972.0,주권,40,1450143828.75,1750321611.8004625,155871.225,177770.8239625746,78.51894598492943,64.22455186142398,64.32732532896948,55.526028146655186,63.768428624289704,small,5.0,5.0,True,normal,🔴,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
2023-03-14,081000,일진다이아,KOSPI,KOSPI,-,18160.0,-640.0,-3.4,18600.0,22300.0,18110.0,1023470.0,20940436840.0,257926026000.0,14202975.0,081000,KOSPI,보통주,-,14202975.0,주권,40,549237807.5,375943738.1667849,28915.825,18665.274593084785,38.12635720639097,54.240028393433654,35.39480543958196,53.28366159523139,53.78390515629938,small,6.0,6.0,True,normal,🟢,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
2023-03-14,293780,압타바이오,KOSDAQ,KOSDAQ,기술성장기업부,10770.0,720.0,7.16,10010.0,11890.0,9850.0,4867261.0,54675931420.0,240158786820.0,22298866.0,293780,KOSDAQ,보통주,기술성장기업부,22298866.0,주권,40,1789805012.25,1400121716.6062348,168255.9,129565.7616289989,30.548540788398945,37.77252061766534,28.92772853730538,36.26733668617811,37.31639738053107,small,7.0,7.0,True,normal,🟢,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
2023-03-14,124500,아이티센,KOSDAQ,KOSDAQ,중견기업부,4585.0,505.0,12.38,4250.0,4915.0,4215.0,16819546.0,77400885490.0,91275121805.0,19907333.0,124500,KOSDAQ,보통주,중견기업부,19907333.0,주권,40,1540350647.875,3102985923.6783137,356657.625,691450.2256045617,50.24887391502633,24.447592321720585,47.158801105121476,23.809216868221945,23.991469084586313,small,8.0,8.0,True,sudden_spike,🔴,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
2023-03-14,318000,KBG,KOSDAQ,KOSDAQ,벤처기업부,10040.0,1930.0,23.8,8190.0,10540.0,8040.0,23911382.0,226560752090.0,82627443000.0,8229825.0,318000,KOSDAQ,보통주,벤처기업부,8229825.0,주권,40,4666621862.75,14668280463.90694,546075.325,1625400.6958101194,48.54919870376849,15.127480741402993,43.78769906880521,14.37510561871296,14.671357504268723,small,9.0,9.0,True,boom_and_fade,🔴,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
2023-03-14,038070,서린바이오,KOSDAQ,KOSDAQ,우량기업부,11470.0,20.0,0.17,11600.0,12700.0,11460.0,789058.0,9648516740.0,97502753720.0,8500676.0,038070,KOSDAQ,보통주,우량기업부,8500676.0,주권,40,816171770.75,583912577.5445228,67333.775,47317.19102489642,11.821674169315786,15.126142694839524,11.718606301221046,15.252896661178756,14.670019457705255,small,10.0,10.0,True,normal,🟢,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
2023-03-14,037950,엘컴텍,KOSDAQ,KOSDAQ,중견기업부,1595.0,328.0,25.89,1350.0,1643.0,1342.0,126408086.0,193852354650.0,134693792805.0,84447519.0,037950,KOSDAQ,보통주,중견기업부,84447519.0,주권,40,5464322789.625,14626733409.346369,4203865.325,11055406.128118267,35.47600720405163,12.879706397054896,30.069489916402112,11.05379750493167,12.423583159920627,mid,11.0,1.0,True,sudden_spike,🔴,3,18589348766004.0,17211579843181.45,3020606736632.833,0.4561232371342699,-2.739719464245136,0.13450980183438788,0.9536037317606526,-3.0140709084399155,normal,60,20
