trade_date,code,name,market,market_name,sector_name_x,close,change,change_rate,open,high,low,volume,trading_value,market_cap,listed_shares_x,isu_cd,source_market,stock_kind,sector_name_y,listed_shares_y,security_group,history_days,avg_trading_value,std_trading_value,avg_volume,std_volume,tv_ratio,tv_z,vol_ratio,vol_z,tv_z_rel,size_bucket,rank_overall,rank_in_bucket,is_top_bucket,pattern_label,signal_tone,signal_strength,market_tv_today,market_tv_mean,market_tv_std,market_tv_z,market_ret_today,market_ret_mean,market_ret_std,market_ret_z,market_regime,window_days,min_history_days
2025-02-11,210980,SK디앤디,KOSPI,KOSPI,-,7110.0,570.0,8.72,6630.0,8010.0,6630.0,2193629.0,16540335130.0,132369586020.0,18617382.0,210980,KOSPI,보통주,-,18617382.0,주권,49,295395308.97959185,119736011.3075643,41057.61224489796,17058.109955160533,55.99389911483913,135.67296624982978,53.42807046146704,126.19049785781758,133.81254214693203,small,1.0,1.0,True,normal,🔴,3,20913719096176.0,16402453715616.082,2424858597312.9746,1.8604241028977626,0.6802307772305868,0.12509467705450658,1.2510364446433404,0.44374094979650625,normal,60,20
2025-02-11,265560,영화테크,KOSDAQ,KOSDAQ,우량기업부,7520.0,590.0,8.51,6940.0,8850.0,6890.0,474878.0,3841738970.0,80390153600.0,10690180.0,265560,KOSDAQ,보통주,우량기업부,10690180.0,주권,49,75006394.69387755,32372284.94976156,10788.673469387755,4806.152529951215,51.218819217737774,116.35671010408139,44.01634745434082,96.56150603595658,114.49628600118362,small,2.0,2.0,True,normal,🔴,3,20913719096176.0,16402453715616.082,2424858597312.9746,1.8604241028977626,0.6802307772305868,0.12509467705450658,1.2510364446433404,0.44374094979650625,normal,60,20
2025-02-11,001780,알루코,KOSPI,KOSPI,-,2230.0,205.0,10.12,2035.0,2400.0,2000.0,14681067.0,33535432895.0,215931194360.0,96830132.0,001780,KOSPI,보통주,-,96830132.0,주권,49,524808221.59183675,413057772.8908993,257780.16326530612,205551.99495163697,63.900357340593985,79.91769393994007,56.95188805078968,70.16855681759867,78.0572698370423,small,3.0,3.0,True,sudden_spike,🔴,3,20913719096176.0,16402453715616.082,2424858597312.9746,1.8604241028977626,0.6802307772305868,0.12509467705450658,1.2510364446433404,0.44374094979650625,normal,60,20
2025-02-11,126700,하이비젼시스템,KOSDAQ,KOSDAQ,우량기업부,21000.0,1400.0,7.14,20850.0,23000.0,19230.0,5681099.0,120272926230.0,313784352000.0,14942112.0,126700,KOSDAQ,보통주,우량기업부,14942112.0,주권,49,3311156309.1836734,3900138936.1789303,190317.3673469388,201774.52171315037,36.323542291379134,29.989129063029452,29.850659869856482,27.212462634201884,28.12870496013169,small,4.0,4.0,True,normal,🟢,3,20913719096176.0,16402453715616.082,2424858597312.9746,1.8604241028977626,0.6802307772305868,0.12509467705450658,1.2510364446433404,0.44374094979650625,normal,60,20
2025-02-11,240810,원익IPS,KOSDAQ,KOSDAQ,우량기업부,25950.0,1950.0,8.13,24050.0,27250.0,23500.0,1854019.0,48487931100.0,1273727230950.0,49083901.0,240810,KOSDAQ,보통주,우량기업부,49083901.0,주권,49,3926166341.836735,1492442411.3265388,170975.55102040817,63639.80263661689,12.349943145128291,29.858280909181012,10.843766777968732,26.4463964256735,27.99785680628325,small,5.0,5.0,True,normal,🔴,3,20913719096176.0,16402453715616.082,2424858597312.9746,1.8604241028977626,0.6802307772305868,0.12509467705450658,1.2510364446433404,0.44374094979650625,normal,60,20
2025-02-11,267320,나인테크,KOSDAQ,KOSDAQ,벤처기업부,3015.0,695.0,29.96,2320.0,3015.0,2260.0,9517430.0,26829227015.0,131647273560.0,43664104.0,267320,KOSDAQ,보통주,벤처기업부,43664104.0,주권,49,477199623.4285714,1149154070.715643,230704.20408163266,541780.3274779586,56.22223006430322,22.93167475372605,41.25382126383939,17.141127731877976,21.071250650828286,small,6.0,6.0,True,normal,🔴,3,20913719096176.0,16402453715616.082,2424858597312.9746,1.8604241028977626,0.6802307772305868,0.12509467705450658,1.2510364446433404,0.44374094979650625,normal,60,20
2025-02-11,093640,케이알엠,KOSDAQ,KOSDAQ,벤처기업부,4055.0,675.0,19.97,3850.0,4250.0,3685.0,3002439.0,12067803360.0,132220265820.0,32606724.0,093640,KOSDAQ,보통주,벤처기업부,32606724.0,주권,49,414106589.3877551,562237782.4127383,114430.28571428571,180801.52170969598,29.14178056872243,20.727345502471543,26.23814999026232,15.97336508551541,18.86692139957378,small,7.0,7.0,True,normal,🔴,3,20913719096176.0,16402453715616.082,2424858597312.9746,1.8604241028977626,0.6802307772305868,0.12509467705450658,1.2510364446433404,0.44374094979650625,normal,60,20
2025-02-11,012450,한화에어로스페이스,KOSPI,KOSPI,-,498000.0,85000.0,20.58,454000.0,498500.0,442500.0,2598237.0,1230310059000.0,22699418178000.0,45581161.0,012450,KOSPI,보통주,-,45581161.0,주권,49,132833940340.7347,63307103988.27339,383976.8775510204,200746.83575854445,9.262015836043934,17.33574985301104,6.766649639351689,11.030112201181897,15.475325750113278,large,8.0,1.0,True,normal,🔴,3,20913719096176.0,16402453715616.082,2424858597312.9746,1.8604241028977626,0.6802307772305868,0.12509467705450658,1.2510364446433404,0.44374094979650625,normal,60,20
2025-02-11,083930,아바코,KOSDAQ,KOSDAQ,우량기업부,15580.0,920.0,6.28,14800.0,17600.0,14510.0,2506348.0,40991778500.0,232341392840.0,14912798.0,083930,KOSDAQ,보통주,우량기업부,14912798.0,주권,49,1369950736.3265307,2478010715.4348197,99956.9387755102,172910.60197486062,29.922082169113505,15.989369019625476,25.0742772908334,13.916966534963274,14.128944916727713,small,9.0,8.0,True,normal,🟢,3,20913719096176.0,16402453715616.082,2424858597312.9746,1.8604241028977626,0.6802307772305868,0.12509467705450658,1.2510364446433404,0.44374094979650625,normal,60,20
2025-02-11,419530,SAMG엔터,KOSDAQ,KOSDAQ,기술성장기업부,21050.0,1260.0,6.37,19930.0,21850.0,19020.0,2271502.0,46992377470.0,180839076500.0,8590930.0,419530,KOSDAQ,보통주,기술성장기업부,8590930.0,주권,49,1815596726.122449,3263290199.714421,122429.63265306123,175095.5416506816,25.882607516241304,13.843936021329359,18.55353112458435,12.273712666164695,11.983511918431596,small,10.0,9.0,True,sudden_spike,🟢,3,20913719096176.0,16402453715616.082,2424858597312.9746,1.8604241028977626,0.6802307772305868,0.12509467705450658,1.2510364446433404,0.44374094979650625,normal,60,20
