trade_date,code,name,market,market_name,sector_name_x,close,change,change_rate,open,high,low,volume,trading_value,market_cap,listed_shares_x,isu_cd,source_market,stock_kind,sector_name_y,listed_shares_y,security_group,history_days,avg_trading_value,std_trading_value,avg_volume,std_volume,tv_ratio,tv_z,vol_ratio,vol_z,tv_z_rel,size_bucket,rank_overall,rank_in_bucket,is_top_bucket,pattern_label,signal_tone,signal_strength,market_tv_today,market_tv_mean,market_tv_std,market_tv_z,market_ret_today,market_ret_mean,market_ret_std,market_ret_z,market_regime,window_days,min_history_days
2024-03-21,100700,세운메디칼,KOSDAQ,KOSDAQ,우량기업부,2860.0,110.0,4.0,2755.0,3030.0,2755.0,2826752.0,8307435420.0,125268000000.0,43800000.0,100700,KOSDAQ,보통주,우량기업부,43800000.0,주권,54.0,107772039.25925925,52316427.27157966,38534.37037037037,18345.731985577804,77.08340193893348,156.73209751452427,73.35664168976614,151.98181418007965,155.32388692919548,small,1.0,1.0,True,normal,🟢,3,24312104141986.0,21175369118380.203,2227461614253.8237,1.4082105853287938,2.3366329622553477,0.10810467702307697,0.9669506018511741,2.304697138577581,euphoria,60,20
2024-03-21,128660,피제이메탈,KOSDAQ,KOSDAQ,중견기업부,3695.0,290.0,8.52,3380.0,4125.0,3360.0,7492047.0,28504056415.0,91648448455.0,24803369.0,128660,KOSDAQ,보통주,중견기업부,24803369.0,주권,54.0,146219418.6111111,191581358.8184851,42128.37037037037,54082.09004777561,194.94029374313214,148.01981346868246,177.838519129363,137.75204736075182,146.61160288335367,small,2.0,2.0,True,normal,🔴,3,24312104141986.0,21175369118380.203,2227461614253.8237,1.4082105853287938,2.3366329622553477,0.10810467702307697,0.9669506018511741,2.304697138577581,euphoria,60,20
2024-03-21,092040,아미코젠,KOSDAQ,KOSDAQ,기술성장기업부,8700.0,1460.0,20.17,7520.0,9270.0,7310.0,16242777.0,138453229840.0,475953396900.0,54707287.0,092040,KOSDAQ,보통주,기술성장기업부,54707287.0,주권,54.0,2916431101.4814816,3345521844.8986335,441768.1296296296,453708.5504119438,47.473513010360115,40.51290202907797,36.76765232842317,34.82634139476515,39.104691443749175,small,3.0,3.0,True,sudden_spike,🔴,3,24312104141986.0,21175369118380.203,2227461614253.8237,1.4082105853287938,2.3366329622553477,0.10810467702307697,0.9669506018511741,2.304697138577581,euphoria,60,20
2024-03-21,002020,코오롱,KOSPI,KOSPI,-,17820.0,1270.0,7.67,16700.0,20300.0,16650.0,1253110.0,23387047510.0,225002911320.0,12626426.0,002020,KOSPI,보통주,-,12626426.0,주권,54.0,592633809.074074,602655718.9909527,34197.11111111111,33286.12506263736,39.46289791758544,37.82327618012387,36.643738587405046,36.61924860869674,36.415065594795074,small,4.0,4.0,True,boom_and_fade,🟢,3,24312104141986.0,21175369118380.203,2227461614253.8237,1.4082105853287938,2.3366329622553477,0.10810467702307697,0.9669506018511741,2.304697138577581,euphoria,60,20
2024-03-21,012320,경동인베스트,KOSPI,KOSPI,-,80400.0,18500.0,29.89,62200.0,80400.0,61900.0,475485.0,36011404000.0,190147849200.0,2365023.0,012320,KOSPI,보통주,-,2365023.0,주권,54.0,903134429.6296296,992582352.9221274,13944.537037037036,14980.538850566069,39.87380263508288,35.37063646861428,34.098299480083135,30.809336537685542,33.96242588328548,small,5.0,5.0,True,normal,🔴,3,24312104141986.0,21175369118380.203,2227461614253.8237,1.4082105853287938,2.3366329622553477,0.10810467702307697,0.9669506018511741,2.304697138577581,euphoria,60,20
2024-03-21,005290,동진쎄미켐,KOSDAQ,KOSDAQ,우량기업부,47950.0,6800.0,16.52,42350.0,48700.0,42100.0,14410948.0,666223288300.0,2465324987300.0,51414494.0,005290,KOSDAQ,보통주,우량기업부,51414494.0,주권,54.0,31170647637.962963,20263982635.952824,776798.1481481482,483730.49064389296,21.373418224669855,31.33898464437647,18.551728057481924,28.185425801262713,29.93077405904768,mid,6.0,1.0,True,normal,🔴,3,24312104141986.0,21175369118380.203,2227461614253.8237,1.4082105853287938,2.3366329622553477,0.10810467702307697,0.9669506018511741,2.304697138577581,euphoria,60,20
2024-03-21,002720,국제약품,KOSPI,KOSPI,-,6590.0,620.0,10.39,6000.0,7260.0,6000.0,26456602.0,179097264540.0,139443292880.0,21159832.0,002720,KOSPI,보통주,-,21159832.0,주권,54.0,2011795311.6666667,6858079016.701013,379321.6111111111,1213037.8722631438,89.02360170609371,25.82143903520055,69.74715182323297,21.497498952969174,24.41322844987176,small,7.0,6.0,True,sudden_spike,🔴,3,24312104141986.0,21175369118380.203,2227461614253.8237,1.4082105853287938,2.3366329622553477,0.10810467702307697,0.9669506018511741,2.304697138577581,euphoria,60,20
2024-03-21,408900,스튜디오미르,KOSDAQ,KOSDAQ,벤처기업부,33700.0,600.0,1.81,34650.0,41600.0,33300.0,934161.0,35012233000.0,177223447200.0,5258856.0,408900,KOSDAQ,보통주,벤처기업부,5258856.0,주권,54.0,1797582966.6666667,1423404422.4302042,51862.333333333336,40051.09856406788,19.477394729059238,23.33465423454661,18.012321080810093,22.029324994801193,21.926443649217816,small,8.0,7.0,True,normal,🟢,3,24312104141986.0,21175369118380.203,2227461614253.8237,1.4082105853287938,2.3366329622553477,0.10810467702307697,0.9669506018511741,2.304697138577581,euphoria,60,20
2024-03-21,020150,롯데에너지머티리얼즈,KOSPI,KOSPI,-,47050.0,4700.0,11.1,43000.0,49200.0,42850.0,2039716.0,95044578800.0,2169514786750.0,46110835.0,020150,KOSPI,보통주,-,46110835.0,주권,54.0,6913568667.592592,4042922364.6666074,187057.2962962963,99590.06804833912,13.74754245886386,21.79883811339894,10.90423116545594,18.602846046901572,20.390627528070148,mid,9.0,2.0,True,normal,🔴,3,24312104141986.0,21175369118380.203,2227461614253.8237,1.4082105853287938,2.3366329622553477,0.10810467702307697,0.9669506018511741,2.304697138577581,euphoria,60,20
2024-03-21,102940,코오롱생명과학,KOSDAQ,KOSDAQ,중견기업부,25700.0,3500.0,15.77,22200.0,28700.0,22200.0,997742.0,26466185400.0,293297549200.0,11412356.0,102940,KOSDAQ,보통주,중견기업부,11412356.0,주권,54.0,857987102.7777778,1338952378.417863,35007.53703703704,56443.72396875375,30.84683361126799,19.125548234569372,28.500776816844205,17.05653694104088,17.717337649240577,small,10.0,8.0,True,boom_and_fade,🔴,3,24312104141986.0,21175369118380.203,2227461614253.8237,1.4082105853287938,2.3366329622553477,0.10810467702307697,0.9669506018511741,2.304697138577581,euphoria,60,20
