trade_date,code,name,market,market_name,sector_name_x,close,change,change_rate,open,high,low,volume,trading_value,market_cap,listed_shares_x,isu_cd,source_market,stock_kind,sector_name_y,listed_shares_y,security_group,history_days,avg_trading_value,std_trading_value,avg_volume,std_volume,tv_ratio,tv_z,vol_ratio,vol_z,tv_z_rel,size_bucket,rank_overall,rank_in_bucket,is_top_bucket,pattern_label,signal_tone,signal_strength,market_tv_today,market_tv_mean,market_tv_std,market_tv_z,market_ret_today,market_ret_mean,market_ret_std,market_ret_z,market_regime,window_days,min_history_days
2023-03-08,039340,한국경제TV,KOSDAQ,KOSDAQ,우량기업부,6760.0,740.0,12.29,6050.0,6890.0,5980.0,4501065.0,29652575420.0,155480000000.0,23000000.0,039340,KOSDAQ,보통주,우량기업부,23000000.0,주권,36,260703388.33333334,236918684.11173937,44236.88888888889,39837.33122499747,113.74065987238511,124.05890291794971,101.74913094149679,111.87566973147294,122.14043921079086,small,1.0,1.0,True,normal,🔴,3,22447426989641.0,16861263841802.695,2911789848821.87,1.9184637071588473,-1.0363678557447862,0.20850359403436242,0.9490759805345256,-1.3116667951896004,normal,60,20
2023-03-08,034310,NICE,KOSPI,KOSPI,-,13490.0,-50.0,-0.37,13540.0,13540.0,13190.0,1140909.0,15388163400.0,511032227000.0,37882300.0,034310,KOSPI,보통주,-,37882300.0,주권,36,348179822.5,243694467.62668452,25385.75,17109.743912878585,44.1960228755071,61.71655731036023,44.942891188954434,65.19812661604715,59.79809360320138,small,2.0,2.0,True,normal,🟢,3,22447426989641.0,16861263841802.695,2911789848821.87,1.9184637071588473,-1.0363678557447862,0.20850359403436242,0.9490759805345256,-1.3116667951896004,normal,60,20
2023-03-08,078020,이베스트투자증권,KOSDAQ,KOSDAQ,우량기업부,4660.0,-75.0,-1.58,4715.0,4720.0,4645.0,1864256.0,8688199870.0,258542345400.0,55481190.0,078020,KOSDAQ,보통주,우량기업부,55481190.0,주권,36,236824647.08333334,172272572.62622982,46673.833333333336,32661.853475969707,36.68621478803604,49.05815878917153,39.94220887506561,55.648469796850804,47.13969508201268,small,3.0,3.0,True,normal,🟢,3,22447426989641.0,16861263841802.695,2911789848821.87,1.9184637071588473,-1.0363678557447862,0.20850359403436242,0.9490759805345256,-1.3116667951896004,normal,60,20
2023-03-08,950110,SBI핀테크솔루션즈,KOSDAQ,KOSDAQ,외국기업(소속부없음),5330.0,710.0,15.37,4620.0,5690.0,4575.0,531659.0,2830279645.0,128200038200.0,24052540.0,950110,KOSDAQ,보통주,외국기업(소속부없음),24052540.0,주식예탁증권,36,56871176.94444445,64365587.0686474,13741.833333333334,14918.427671842634,49.766503826091125,43.088373684802264,38.689088064426144,34.71660539965581,41.169909977643414,small,4.0,4.0,True,normal,🔴,3,22447426989641.0,16861263841802.695,2911789848821.87,1.9184637071588473,-1.0363678557447862,0.20850359403436242,0.9490759805345256,-1.3116667951896004,normal,60,20
2023-03-08,241560,두산밥캣,KOSPI,KOSPI,-,41600.0,2300.0,5.85,38100.0,41600.0,37800.0,7204062.0,272969558150.0,4170365305600.0,100249166.0,241560,KOSPI,보통주,-,100249166.0,주권,36,10535528336.805555,7011068685.274796,284492.1111111111,184240.16915859393,25.909432296469554,37.431387651982256,25.322536965485078,37.557335734600436,35.512923944823406,mid,5.0,1.0,True,normal,🟢,3,22447426989641.0,16861263841802.695,2911789848821.87,1.9184637071588473,-1.0363678557447862,0.20850359403436242,0.9490759805345256,-1.3116667951896004,normal,60,20
2023-03-08,226950,올릭스,KOSDAQ,KOSDAQ,기술성장기업부,25000.0,2100.0,9.17,23100.0,26800.0,22400.0,1406902.0,34924114800.0,342579000000.0,13703160.0,226950,KOSDAQ,보통주,기술성장기업부,13703160.0,주권,36,1568606309.7222223,1161443698.706357,70387.02777777778,51274.401163870185,22.264423254924022,28.719005947020868,19.988086504260373,26.06593040357104,26.800542239862022,small,6.0,5.0,True,normal,🔴,3,22447426989641.0,16861263841802.695,2911789848821.87,1.9184637071588473,-1.0363678557447862,0.20850359403436242,0.9490759805345256,-1.3116667951896004,normal,60,20
2023-03-08,000990,DB하이텍,KOSPI,KOSPI,-,53000.0,7800.0,17.26,44900.0,54000.0,44900.0,9097803.0,459823111300.0,2353125164000.0,44398588.0,000990,KOSPI,보통주,-,44398588.0,주권,36,24259343268.055557,17865337371.122467,521237.1388888889,357719.8613657782,18.954474827250998,24.380383027974034,17.454249364106346,23.9756490689829,22.461919320815188,mid,7.0,2.0,True,normal,🔴,3,22447426989641.0,16861263841802.695,2911789848821.87,1.9184637071588473,-1.0363678557447862,0.20850359403436242,0.9490759805345256,-1.3116667951896004,normal,60,20
2023-03-08,294140,레몬,KOSDAQ,KOSDAQ,기술성장기업부,7940.0,1830.0,29.95,6590.0,7940.0,6350.0,30059563.0,217844311440.0,293780000000.0,37000000.0,294140,KOSDAQ,보통주,기술성장기업부,37000000.0,주권,36,2840736514.7222223,9415306546.935963,582599.2777777778,1657591.3143760413,76.68585604860351,22.835536352796364,51.59560635683742,17.78301048429304,20.917072645637518,small,8.0,6.0,True,sudden_spike,🔴,3,22447426989641.0,16861263841802.695,2911789848821.87,1.9184637071588473,-1.0363678557447862,0.20850359403436242,0.9490759805345256,-1.3116667951896004,normal,60,20
2023-03-08,040300,YTN,KOSDAQ,KOSDAQ,우량기업부,9390.0,1310.0,16.21,8440.0,10500.0,7890.0,13669385.0,129899176280.0,394380000000.0,42000000.0,040300,KOSDAQ,보통주,우량기업부,42000000.0,주권,36,4935615535.277778,6110721994.947472,710705.4444444445,864505.5435220244,26.318738838455584,20.449884784162304,19.23354479250585,14.98970093674757,18.531421077003458,mid,9.0,3.0,True,normal,🔴,3,22447426989641.0,16861263841802.695,2911789848821.87,1.9184637071588473,-1.0363678557447862,0.20850359403436242,0.9490759805345256,-1.3116667951896004,normal,60,20
2023-03-08,310210,보로노이,KOSDAQ,KOSDAQ,기술성장기업부,32050.0,2150.0,7.19,30650.0,34500.0,30200.0,660995.0,21504118750.0,405364201450.0,12647869.0,310210,KOSDAQ,보통주,기술성장기업부,12647869.0,주권,36,1763228902.7777777,966407839.1854734,57842.583333333336,30353.608500355556,12.195874691098004,20.427079589773008,11.427480619094064,19.8708636786826,18.508615882614162,small,10.0,7.0,True,normal,🟢,3,22447426989641.0,16861263841802.695,2911789848821.87,1.9184637071588473,-1.0363678557447862,0.20850359403436242,0.9490759805345256,-1.3116667951896004,normal,60,20
