code,name,market,date,open,high,low,close,prev_close,change_pct,volume,avg_20d_volume,vol_sigma
281820,케이씨텍,KOSPI,2025-11-18,43950.0,45300.0,42650.0,43250.0,43250.0,0.0,159546.0,159546.0,0.3784542595997757
014940,오리엔탈정공,KOSDAQ,2025-11-18,8690.0,8980.0,8250.0,8330.0,8330.0,0.0,826337.0,826337.0,-1.1552748648225337
064820,케이프,KOSDAQ,2025-11-18,11350.0,11770.0,10770.0,10830.0,10830.0,0.0,631495.0,631495.0,-0.2635419241890735
082270,젬백스,KOSDAQ,2025-11-18,38700.0,38950.0,37600.0,37850.0,37850.0,0.0,178507.0,178507.0,-0.7065063715085971
382900,범한퓨얼셀,KOSDAQ,2025-11-18,30850.0,32200.0,29000.0,29500.0,29500.0,0.0,227453.0,227453.0,-1.041632112595983
388720,유일로보틱스,KOSDAQ,2025-11-18,79200.0,80100.0,76700.0,78000.0,78000.0,0.0,85293.0,85293.0,-0.7674005321582595
214430,아이쓰리시스템,KOSDAQ,2025-11-18,71200.0,72300.0,65800.0,66100.0,66100.0,0.0,100567.0,100567.0,2.602504783138559
175330,JB금융지주,KOSPI,2025-11-18,24050.0,24250.0,23250.0,23400.0,23400.0,0.0,283937.0,283937.0,-0.5470126711841182
137400,피엔티,KOSDAQ,2025-11-18,43100.0,43500.0,40800.0,40900.0,40900.0,0.0,162246.0,162246.0,-0.5523632380113327
077360,덕산하이메탈,KOSDAQ,2025-11-18,6400.0,6500.0,6000.0,6020.0,6020.0,0.0,1093539.0,1093539.0,-0.25321347893205354
078350,한양디지텍,KOSDAQ,2025-11-18,23650.0,24400.0,22800.0,22800.0,22800.0,0.0,288485.0,288485.0,-0.6208876325223698
039130,하나투어,KOSPI,2025-11-18,46350.0,47300.0,46000.0,46450.0,46450.0,0.0,139787.0,139787.0,1.9796619260368502
121600,나노신소재,KOSDAQ,2025-11-18,61900.0,63300.0,58100.0,58400.0,58400.0,0.0,111019.0,111019.0,0.23399574412619312
086450,동국제약,KOSDAQ,2025-11-18,19360.0,19460.0,18840.0,18930.0,18930.0,0.0,339408.0,339408.0,0.7382280080016036
232140,와이씨,KOSDAQ,2025-11-18,13240.0,13760.0,13120.0,13660.0,13660.0,0.0,469435.0,469435.0,-0.6215537411257854
