종목명,현재가,전일비,등락률,거래량,거래대금,market,code,name,close,volume,trading_value,change_rate,change,trade_date,listed_shares_x,market_cap,stock_kind,sector_name,listed_shares_y,security_group,history_days,avg_trading_value,std_trading_value,avg_volume,std_volume,tv_ratio,tv_z,vol_ratio,vol_z,tv_z_rel,size_bucket,rank_overall,rank_in_bucket,is_top_bucket,pattern_label,signal_tone,signal_strength,market_tv_today,market_tv_mean,market_tv_std,market_tv_z,market_ret_today,market_ret_mean,market_ret_std,market_ret_z,market_regime,window_days,min_history_days
경인양행,"3,330",상승495,+17.46%,"9,108,235",,KOSPI,012610,경인양행,3330,9108235,30330422550,17.46,495,2025-12-01,41616365.0,138582495450.0,보통주,-,41616365.0,주권,52,157283432.90384614,57324456.996993005,53508.192307692305,19290.18854748669,192.83927105369222,526.357172797623,170.22131765588736,469.39545382888673,526.9433243940459,small,1.0,1.0,True,normal,🔴,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
한컴라이프케어,"3,430",상한가790,+29.92%,"26,178,471",,KOSPI,372910,한컴라이프케어,3430,26178471,89792155530,29.92,790,2025-12-01,27674406.0,94923212580.0,보통주,-,27674406.0,주권,52,326076690.84615386,191491042.20173347,121812.61538461539,68261.40561485558,275.3712793668064,467.2076448615409,214.90771639163304,381.71874941503887,467.79379645796394,small,2.0,2.0,True,normal,🔴,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
켐트로스,"5,250","상한가1,210",+29.95%,"9,925,261",,KOSDAQ,220260,켐트로스,5250,9925261,52107620250,29.95,1210,2025-12-01,26558307.0,139431111750.0,보통주,우량기업부,26558307.0,주권,52,342866021.0769231,318826713.0900089,82924.30769230769,72250.29006781815,151.97662365705668,162.3601539758973,119.69061034344574,136.2255664727315,162.94630557232028,small,3.0,3.0,True,normal,🔴,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
메디아나,"6,290",상승400,+6.79%,"512,828",,KOSDAQ,041920,메디아나,6290,512828,3225688120,6.79,400,2025-12-01,18598223.0,116982822670.0,보통주,우량기업부,18598223.0,주권,52,278373682.09615386,155976357.1735581,52221.0,27718.35532426758,11.587618828441569,18.8959050673578,9.820340476053694,16.617400080615024,19.48205666378078,small,4.0,4.0,True,sudden_spike,🟢,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
안트로젠,"25,800","상승3,100",+13.66%,"188,063",,KOSDAQ,065660,안트로젠,25800,188063,4852025400,13.66,3100,2025-12-01,10006100.0,258157380000.0,보통주,기술성장기업부,10006100.0,주권,52,592880019.2307693,288660569.5746234,25620.173076923078,12453.82421417985,8.183823442549555,14.75485684465184,7.3404266019340225,13.043610069437186,15.341008441074823,small,5.0,5.0,True,normal,🔴,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
피노,"5,290",상승820,+18.34%,"3,930,103",,KOSDAQ,033790,피노,5290,3930103,20790244870,18.34,820,2025-12-01,68037321.0,359917428090.0,보통주,중견기업부,68037321.0,주권,52,1077975217.1730769,1447570971.238879,262294.6346153846,324490.8787880309,19.286384824802493,13.617480624080567,14.983543242365217,11.303271078323776,14.20363222050355,small,6.0,6.0,True,sudden_spike,🔴,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
쎌바이오텍,"14,320","상승1,010",+7.59%,"158,068",,KOSDAQ,049960,쎌바이오텍,14320,158068,2263533760,7.59,1010,2025-12-01,9400000.0,134608000000.0,보통주,벤처기업부,9400000.0,주권,52,213315581.92307693,168190956.99953067,17266.923076923078,13337.28500291078,10.611197454934379,12.18982408241273,9.15438143181717,10.55695195029183,12.775975678835714,small,7.0,7.0,True,normal,🟢,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
에이티넘인베스트,"2,980",상승115,+4.01%,"2,382,475",,KOSDAQ,021080,에이티넘인베스트,2980,2382475,7099775500,4.01,115,2025-12-01,48000000.0,143040000000.0,보통주,우량기업부,48000000.0,주권,52,575792142.0769231,595435569.5431608,219340.88461538462,217174.79530342476,12.33044875254915,10.95665709545788,10.861974064605795,9.960336844625099,11.542808691880863,small,8.0,8.0,True,normal,🟢,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
솔본,"3,610",하락195,-5.12%,"328,954",,KOSDAQ,035610,솔본,3610,328954,1187523940,-5.12,195,2025-12-01,27345997.0,98719049170.0,보통주,벤처기업부,27345997.0,주권,52,132591329.26923077,104474687.25831707,33549.57692307692,26752.358710996115,8.956271473745437,10.097494794336297,9.805011871065668,11.042182346168302,10.68364639075928,small,9.0,9.0,True,normal,🟢,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
HL만도,"51,200","상승4,600",+9.87%,"2,133,921",,KOSPI,204320,HL만도,51200,2133921,109256755200,9.87,4600,2025-12-01,46957120.0,2404204544000.0,보통주,-,46957120.0,주권,52,10988606501.442308,10088187967.280157,285849.6346153846,231866.19529527586,9.942730698897947,9.740911749194087,7.465187082961382,7.970421747038814,10.32706334561707,mid,10.0,1.0,True,normal,🔴,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
동진쎄미켐,"40,150","상승4,000",+11.07%,"3,076,708",,KOSDAQ,005290,동진쎄미켐,40150,3076708,123529826200,11.07,4000,2025-12-01,51414494.0,2064291934100.0,보통주,우량기업부,51414494.0,주권,52,21701425677.403847,11036568924.627092,545260.3269230769,251937.4256863002,5.6922447417186435,9.22645445500507,5.642640493142003,10.047922281419808,9.812606051428054,mid,11.0,2.0,True,normal,🔴,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
아진엑스텍,"9,080",하락60,-0.66%,"1,931,510",,KOSDAQ,059120,아진엑스텍,9080,1931510,17538110800,-0.66,60,2025-12-01,9748596.0,88517251680.0,보통주,벤처기업부,9748596.0,주권,52,1483695207.0192308,1822269785.575027,181079.25,211159.17432933403,11.82056174140669,8.810120060194443,10.666655621778862,8.28962679722333,9.396271656617426,small,12.0,10.0,True,sudden_spike,🟢,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
티앤알바이오팹,"2,245",상승210,+10.32%,"15,695,544",,KOSDAQ,246710,티앤알바이오팹,2245,15695544,35236496280,10.32,210,2025-12-01,44941692.0,100894098540.0,보통주,기술성장기업부,44941692.0,주권,52,1977999739.5769231,3906601248.708741,1217091.6153846155,2530039.4211631357,17.814206733685808,8.513409591372064,12.895942919662643,5.722619285496825,9.099561187795047,small,13.0,11.0,True,normal,🔴,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
삼양엔씨켐,"22,000","상승3,470",+18.73%,"765,453",,KOSDAQ,482630,삼양엔씨켐,22000,765453,16839966000,18.73,3470,2025-12-01,10944140.0,240771080000.0,보통주,중견기업부,10944140.0,주권,52,2549225746.6346154,1976107367.7376707,124367.69230769231,92433.66040477378,6.605913980835727,7.231763054315219,6.1547576046215315,6.935626100761867,7.817914650738203,small,14.0,12.0,True,normal,🔴,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
미창석유,"109,700",상승300,+0.27%,"4,164",,KOSPI,003650,미창석유,109700,4164,456790800,0.27,300,2025-12-01,1739672.0,190842018400.0,보통주,-,1739672.0,주권,52,97936511.53846154,50567451.01826344,903.4423076923077,467.73955437185543,4.6641522433705385,7.0965469137831585,4.609038080844632,6.970882966454301,7.6826985102061425,small,15.0,13.0,True,normal,🟢,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
우림피티에스,"9,770","상승1,510",+18.28%,"15,480,771",,KOSDAQ,101170,우림피티에스,9770,15480771,151247132670,18.28,1510,2025-12-01,13500000.0,131895000000.0,보통주,벤처기업부,13500000.0,주권,52,8433554243.211538,20209505994.3644,1173916.5384615385,2622627.181199242,17.93397283141258,7.0666536068033174,13.187284183156777,5.455161360371627,7.6528052032263005,small,16.0,14.0,True,normal,🔴,3,22736442613271.0,25564727007332.848,4825175622350.226,-0.5861515964229835,0.0859983384251959,0.3752968370815889,1.6541699839592343,-0.17489042931607357,normal,60,20
