code,name,market,date,close,prev_close,change_pct,volume,avg_20d_volume,vol_sigma
005930,삼성전자,KOSPI,2025-11-22,99300.0,96698.80222027462,2.69,16110054.0,16110054.0,-1.2487226241314187
000660,SK하이닉스,KOSPI,2025-11-22,519000.0,519987.97715659754,-0.19,3468064.0,3468064.0,-0.6102178825761989
373220,LG에너지솔루션,KOSPI,2025-11-22,413500.0,412016.739736947,0.36,240842.0,240842.0,-0.6636621354447186
207940,삼성바이오로직스,KOSPI,2025-11-22,1627000.0,1789091.7088190017,-9.06,224828.0,224828.0,1.0169967797443114
005935,삼성전자우,KOSPI,2025-11-22,74900.0,72598.62363090045,3.17,2490530.0,2490530.0,-0.6949192989145232
005380,현대차,KOSPI,2025-11-22,257500.0,257500.0,0.0,388687.0,388687.0,-1.13749833957594
329180,HD현대중공업,KOSPI,2025-11-22,548000.0,551974.2143432716,-0.72,187975.0,187975.0,-0.3708480378344158
034020,두산에너빌리티,KOSPI,2025-11-22,73500.0,72499.50680607614,1.38,2759653.0,2759653.0,-1.8547781995633261
105560,KB금융,KOSPI,2025-11-22,121700.0,120304.46816923685,1.16,854744.0,854744.0,-0.4468357284611019
012450,한화에어로스페이스,KOSPI,2025-11-22,859000.0,854981.5865432468,0.47,121366.0,121366.0,-1.5996790233821285
000270,기아,KOSPI,2025-11-22,111200.0,111100.0099910081,0.09,632037.0,632037.0,-0.8807205697536479
068270,셀트리온,KOSPI,2025-11-22,182500.0,182099.3813610058,0.22,466065.0,466065.0,-0.7645287185875282
035420,NAVER,KOSPI,2025-11-22,253000.0,261013.10223872896,-3.07,1218659.0,1218659.0,-0.40916472116586716
028260,삼성물산,KOSPI,2025-11-22,228500.0,217992.74947529097,4.82,468197.0,468197.0,0.9832691124471596
402340,SK스퀘어,KOSPI,2025-11-22,290500.0,276009.50118764845,5.25,684902.0,684902.0,0.39605385343252936
055550,신한지주,KOSPI,2025-11-22,77500.0,76302.05769420104,1.57,956374.0,956374.0,-0.8086593611836681
042660,한화오션,KOSPI,2025-11-22,113000.0,118797.3086627418,-4.88,1722922.0,1722922.0,-0.40351021532103587
015760,한국전력,KOSPI,2025-11-22,51500.0,48198.40898455779,6.85,9181118.0,9181118.0,1.3368596785933073
009540,HD한국조선해양,KOSPI,2025-11-22,420000.0,434018.80748165754,-3.23,197185.0,197185.0,-0.530627028291183
032830,삼성생명,KOSPI,2025-11-22,146700.0,144803.07965649985,1.31,191417.0,191417.0,-0.9282240580722158
267260,HD현대일렉트릭,KOSPI,2025-11-22,780000.0,750000.0,4.0,148760.0,148760.0,-0.4085179041682206
012330,현대모비스,KOSPI,2025-11-22,293500.0,293500.0,0.0,104305.0,104305.0,-1.4218391249125828
035720,카카오,KOSPI,2025-11-22,58000.0,58799.67558799676,-1.36,1898070.0,1898070.0,-0.9722830849580216
051910,LG화학,KOSPI,2025-11-22,363000.0,358483.1127789848,1.26,251051.0,251051.0,-0.6127036385159763
086790,하나금융지주,KOSPI,2025-11-22,90800.0,89502.21784130114,1.45,655231.0,655231.0,-0.6167592397613639
005490,POSCO홀딩스,KOSPI,2025-11-22,301000.0,302512.5628140704,-0.5,167675.0,167675.0,-1.4639859187889939
006400,삼성SDI,KOSPI,2025-11-22,284500.0,280987.65432098764,1.25,265462.0,265462.0,-1.3002982354017363
010130,고려아연,KOSPI,2025-11-22,1138000.0,1077957.753149569,5.57,31685.0,31685.0,-0.037401538490897696
010140,삼성중공업,KOSPI,2025-11-22,24800.0,25050.50505050505,-1.0,2791063.0,2791063.0,-1.3208750652522057
000810,삼성화재,KOSPI,2025-11-22,473000.0,473000.0,0.0,49760.0,49760.0,-1.5230829967218886
064350,현대로템,KOSPI,2025-11-22,177200.0,174995.06221607744,1.26,616585.0,616585.0,-0.24178134291088016
316140,우리금융지주,KOSPI,2025-11-22,25750.0,25799.018134455466,-0.19,1219820.0,1219820.0,-1.2525187284128338
138040,메리츠금융지주,KOSPI,2025-11-22,107500.0,107704.63881374612,-0.19,190512.0,190512.0,-0.7836604036505108
096770,SK이노베이션,KOSPI,2025-11-22,111000.0,111300.51138072797,-0.27,170364.0,170364.0,-1.377113415661609
298040,효성중공업,KOSPI,2025-11-22,1940000.0,1903080.243280361,1.94,52981.0,52981.0,-0.23029728972253918
034730,SK,KOSPI,2025-11-22,249000.0,249498.997995992,-0.2,158349.0,158349.0,-0.9110928295752221
009150,삼성전기,KOSPI,2025-11-22,241500.0,225996.63110612016,6.86,1028743.0,1028743.0,1.8352909432571138
011200,HMM,KOSPI,2025-11-22,18710.0,18659.61902862272,0.27,699300.0,699300.0,-2.055045464087718
003670,포스코퓨처엠,KOSPI,2025-11-22,187100.0,186801.11821086262,0.16,209557.0,209557.0,-1.477092795393554
033780,KT&G,KOSPI,2025-11-22,140200.0,146499.4775339603,-4.3,321928.0,321928.0,0.006145875606317512
024110,기업은행,KOSPI,2025-11-22,20150.0,20099.750623441396,0.25,836061.0,836061.0,-0.4220898412344546
267250,HD현대,KOSPI,2025-11-22,202500.0,200495.0495049505,1.0,143048.0,143048.0,-0.9526419080093022
066570,LG전자,KOSPI,2025-11-22,85200.0,83998.81691807158,1.43,485683.0,485683.0,-0.9214583630904326
000150,두산,KOSPI,2025-11-22,830000.0,853997.3248276572,-2.81,265647.0,265647.0,1.546312227489868
010120,LS ELECTRIC,KOSPI,2025-11-22,440000.0,435988.90210067376,0.92,170664.0,170664.0,-0.8043185109046437
018260,삼성에스디에스,KOSPI,2025-11-22,167800.0,166799.20477137176,0.6,100784.0,100784.0,-1.4742987237191112
030200,KT,KOSPI,2025-11-22,49850.0,50100.502512562816,-0.5,191970.0,191970.0,-1.3008023064178462
003550,LG,KOSPI,2025-11-22,78400.0,77700.69375619426,0.9,216481.0,216481.0,-0.8629883030397592
259960,크래프톤,KOSPI,2025-11-22,255000.0,255000.0,0.0,65335.0,65335.0,-1.58892625783029
086280,현대글로비스,KOSPI,2025-11-22,160000.0,158400.1584001584,1.01,82121.0,82121.0,-1.7166497307261854
006800,미래에셋증권,KOSPI,2025-11-22,21000.0,21199.273167777104,-0.94,2888634.0,2888634.0,-0.5518588258777578
352820,하이브,KOSPI,2025-11-22,280500.0,290012.4069478908,-3.28,290393.0,290393.0,0.1659197290455766
360750,TIGER 미국S&P500,KOSPI,2025-11-22,24490.0,24324.59276916965,0.68,3149034.0,3149034.0,0.0
017670,SK텔레콤,KOSPI,2025-11-22,53500.0,54100.51572454242,-1.11,741627.0,741627.0,-0.05483089807014427
042700,한미반도체,KOSPI,2025-11-22,120100.0,119597.68970324636,0.42,986673.0,986673.0,-0.8359004871241946
047810,한국항공우주,KOSPI,2025-11-22,108600.0,103903.55912743973,4.52,1042499.0,1042499.0,1.3296861783000526
069500,KODEX 200,KOSPI,2025-11-22,54605.0,54209.27231212151,0.73,11224001.0,11224001.0,0.0
007660,이수페타시스,KOSPI,2025-11-22,140700.0,125100.02667377968,12.47,4335132.0,4335132.0,2.1471635734834904
326030,SK바이오팜,KOSPI,2025-11-22,129000.0,128294.38090502236,0.55,324435.0,324435.0,0.711478555171583
323410,카카오뱅크,KOSPI,2025-11-22,21150.0,21599.264705882353,-2.08,702246.0,702246.0,-0.4685506826749819
003230,삼양식품,KOSPI,2025-11-22,1311000.0,1355038.7596899224,-3.25,41596.0,41596.0,-0.5612752876289633
278470,에이피알,KOSPI,2025-11-22,250500.0,247505.187234463,1.21,474423.0,474423.0,-0.26419415949153063
047050,포스코인터내셔널,KOSPI,2025-11-22,52100.0,51198.89937106918,1.76,254786.0,254786.0,-0.7622059432812309
000100,유한양행,KOSPI,2025-11-22,114500.0,115202.73669383238,-0.61,266686.0,266686.0,-0.9125303629035004
010950,S-Oil,KOSPI,2025-11-22,80400.0,81500.253421186,-1.35,436537.0,436537.0,0.25696081038932345
010620,HD현대미포,KOSPI,2025-11-22,219500.0,221493.44096871847,-0.9,162424.0,162424.0,-1.3751922209379117
272210,한화시스템,KOSPI,2025-11-22,46200.0,47399.199753770394,-2.53,1330052.0,1330052.0,0.11411712523752543
459580,KODEX CD금리액티브(합성),KOSPI,2025-11-22,1075320.0,1075212.4787521248,0.01,241856.0,241856.0,0.0
071050,한국금융지주,KOSPI,2025-11-22,154600.0,156193.1703374419,-1.02,170964.0,170964.0,-1.472845376575187
488770,KODEX 머니마켓액티브,KOSPI,2025-11-22,104275.0,104264.57354264574,0.01,629485.0,629485.0,0.0
005830,DB손해보험,KOSPI,2025-11-22,119900.0,120405.7039566178,-0.42,153662.0,153662.0,-0.6302191968307753
079550,LIG넥스원,KOSPI,2025-11-22,384500.0,393995.28640229534,-2.41,127289.0,127289.0,-0.5769985967001952
443060,HD현대마린솔루션,KOSPI,2025-11-22,187800.0,207490.88498508453,-9.49,236662.0,236662.0,1.8776382678614023
0126Z0,삼성에피스홀딩스,KOSPI,2025-11-22,335500.0,438504.77061821986,-23.49,1663011.0,1663011.0,0.0
003490,대한항공,KOSPI,2025-11-22,21100.0,20999.203821656054,0.48,605883.0,605883.0,-2.0879811525142182
090430,아모레퍼시픽,KOSPI,2025-11-22,126400.0,130903.06545153272,-3.44,249048.0,249048.0,0.12493057840498642
