name,date,close,prev_close,change_pct,volume,avg_20d_volume,vol_sigma
KODEX 200선물인버스2X,2025-11-06,741.0,725.9723719016362,2.07,311874612.0,311874612.0,0.0
KODEX 인버스,2025-11-06,2655.0,2619.893428063943,1.34,33278004.0,33278004.0,0.0
KODEX 레버리지,2025-11-06,41705.0,42638.78948982722,-2.19,9044542.0,9044542.0,0.0
KODEX 2차전지산업레버리지,2025-11-06,1771.0,1809.9131323454267,-2.15,7704446.0,7704446.0,0.0
KODEX 코스닥150선물인버스,2025-11-06,2980.0,2925.0098154691796,1.88,7183438.0,7183438.0,0.0
KODEX 코스닥150레버리지,2025-11-06,11480.0,11895.140399958555,-3.49,6726310.0,6726310.0,0.0
삼성 인버스 2X 코스피200 선물 ETN,2025-11-06,4215.0,4129.923574368019,2.06,6487119.0,6487119.0,0.0
TIGER 200선물인버스2X,2025-11-06,786.0,769.9843260188088,2.08,5487419.0,5487419.0,0.0
삼성전자,2025-11-06,98500.0,99204.35089132843,-0.71,4965492.0,4965492.0,0.0
미래에셋 인버스 2X 코스피200 선물 ETN,2025-11-06,4205.0,4120.1254164217125,2.06,2832071.0,2832071.0,0.0
대한전선,2025-11-06,25050.0,24501.17370892019,2.24,2369957.0,2369957.0,0.0
TIGER 화장품,2025-11-06,3575.0,3494.9652947502204,2.29,2122287.0,2122287.0,0.0
KODEX 200,2025-11-06,56225.0,56977.09768950142,-1.32,1910764.0,1910764.0,0.0
TIGER 2차전지TOP10레버리지,2025-11-06,1644.0,1678.921568627451,-2.08,1890177.0,1890177.0,0.0
대원전선,2025-11-06,3975.0,3889.8130932576573,2.19,1810157.0,1810157.0,0.0
코오롱모빌리티그룹,2025-11-06,10580.0,9300.281293952181,13.76,1691931.0,1691931.0,0.0
TIGER 반도체TOP10,2025-11-06,18270.0,18580.2908573172,-1.67,1613685.0,1613685.0,0.0
KODEX 코스닥150,2025-11-06,15315.0,15619.58184599694,-1.95,1360949.0,1360949.0,0.0
미래에셋 인버스 2X 코스닥150 선물 ETN,2025-11-06,3700.0,3570.0501736781166,3.64,1356263.0,1356263.0,0.0
HANARO Fn K-반도체,2025-11-06,18970.0,19280.41467628824,-1.61,1352906.0,1352906.0,0.0
동양,2025-11-06,856.0,854.9740311626048,0.12,1264626.0,1264626.0,0.0
에이프로젠,2025-11-06,646.0,673.9697443922796,-4.15,1247069.0,1247069.0,0.0
카카오,2025-11-06,61800.0,60701.30635497495,1.81,1207766.0,1207766.0,0.0
삼성중공업,2025-11-06,25900.0,26151.050080775447,-0.96,1127687.0,1127687.0,0.0
두산에너빌리티,2025-11-06,77900.0,79303.6750483559,-1.77,1123022.0,1123022.0,0.0
삼성 인버스 2X 코스닥150 선물 ETN,2025-11-06,3685.0,3560.0425079702445,3.51,1095231.0,1095231.0,0.0
일동제약,2025-11-06,29350.0,30598.415346121765,-4.08,1066439.0,1066439.0,0.0
HJ중공업,2025-11-06,22200.0,23549.379442028217,-5.73,1053255.0,1053255.0,0.0
미래에셋증권,2025-11-06,23800.0,23650.998708138726,0.63,946868.0,946868.0,0.0
한온시스템,2025-11-06,4415.0,4184.834123222749,5.5,940225.0,940225.0,0.0
TIGER 2차전지소재Fn,2025-11-06,5665.0,5740.196575134259,-1.31,910035.0,910035.0,0.0
한국전력,2025-11-06,44650.0,46102.21992772328,-3.15,887053.0,887053.0,0.0
KODEX 반도체레버리지,2025-11-06,27360.0,28001.22812404053,-2.29,866760.0,866760.0,0.0
KODEX AI전력핵심설비,2025-11-06,25015.0,25764.754351632506,-2.91,849718.0,849718.0,0.0
TIGER 200,2025-11-06,56265.0,56977.215189873416,-1.25,817202.0,817202.0,0.0
디아이씨,2025-11-06,6520.0,6490.145331475214,0.46,806382.0,806382.0,0.0
TIGER 인터넷TOP10,2025-11-06,4785.0,4854.910714285714,-1.44,805935.0,805935.0,0.0
TIGER 코리아AI전력기기TOP3플러스,2025-11-06,13210.0,13614.346078532411,-2.97,803530.0,803530.0,0.0
삼성공조,2025-11-06,16160.0,14740.490741585332,9.63,730406.0,730406.0,0.0
SK하이닉스,2025-11-06,582000.0,592969.9439633214,-1.85,724759.0,724759.0,0.0
TIGER 은행고배당플러스TOP10,2025-11-06,20900.0,20895.820835832834,0.02,723041.0,723041.0,0.0
KODEX 2차전지산업,2025-11-06,15910.0,16080.452799676572,-1.06,718849.0,718849.0,0.0
KODEX 200타겟위클리커버드콜,2025-11-06,13285.0,13450.440417130707,-1.23,714006.0,714006.0,0.0
ACE KRX금현물,2025-11-06,27330.0,26979.26949654492,1.3,706879.0,706879.0,0.0
오리엔트바이오,2025-11-06,582.0,598.0271270036992,-2.68,643072.0,643072.0,0.0
삼성전자우,2025-11-06,76100.0,76798.86971440105,-0.91,635673.0,635673.0,0.0
한화생명,2025-11-06,3095.0,3130.056634304207,-1.12,602577.0,602577.0,0.0
TIGER 미국S&P500,2025-11-06,24225.0,24395.770392749244,-0.7,579663.0,579663.0,0.0
KODEX 반도체,2025-11-06,57810.0,58911.647814124124,-1.87,576612.0,576612.0,0.0
TIGER 반도체TOP10레버리지,2025-11-06,15240.0,15680.625578763247,-2.81,574611.0,574611.0,0.0
SOL 조선TOP3플러스,2025-11-06,34370.0,34978.628129452474,-1.74,565090.0,565090.0,0.0
우리금융지주,2025-11-06,26200.0,26598.984771573603,-1.5,564649.0,564649.0,0.0
TIGER 2차전지테마,2025-11-06,19430.0,19695.894576786617,-1.35,531223.0,531223.0,0.0
KODEX 은행,2025-11-06,12475.0,12489.987985582698,-0.12,516158.0,516158.0,0.0
삼성 레버리지 천연가스 선물 ETN C,2025-11-06,3340.0,3214.9388776590627,3.89,507950.0,507950.0,0.0
KODEX 금융고배당TOP10,2025-11-06,11005.0,11030.369850656509,-0.23,493454.0,493454.0,0.0
아모레퍼시픽,2025-11-06,129000.0,118598.87836719686,8.77,478678.0,478678.0,0.0
TIGER 미국AI전력SMR,2025-11-06,9050.0,9680.179698363461,-6.51,461571.0,461571.0,0.0
KODEX 증권,2025-11-06,15330.0,15405.486885740127,-0.49,458021.0,458021.0,0.0
TIGER 코리아원자력,2025-11-06,10140.0,10379.772750537415,-2.31,445292.0,445292.0,0.0
한화오션,2025-11-06,120900.0,123003.35741174077,-1.71,421176.0,421176.0,0.0
KODEX K방산TOP10,2025-11-06,9645.0,10169.75959510755,-5.16,418511.0,418511.0,0.0
TIGER 2차전지TOP10,2025-11-06,10005.0,10074.514147618569,-0.69,417307.0,417307.0,0.0
KODEX 미국AI전력핵심인프라,2025-11-06,18325.0,19210.609078519763,-4.61,416349.0,416349.0,0.0
KODEX 로봇액티브,2025-11-06,22765.0,23069.51763275233,-1.32,416032.0,416032.0,0.0
신성이엔지,2025-11-06,1811.0,1843.0694076938732,-1.74,412521.0,412521.0,0.0
한미반도체,2025-11-06,129300.0,129003.29242741695,0.23,405981.0,405981.0,0.0
일동홀딩스,2025-11-06,13450.0,13440.591585889879,0.07,404493.0,404493.0,0.0
TIGER 바이오TOP10,2025-11-06,8555.0,8624.861377154955,-0.81,395723.0,395723.0,0.0
KODEX 코리아소버린AI,2025-11-06,10570.0,10745.145877808274,-1.63,394228.0,394228.0,0.0
대덕전자,2025-11-06,44300.0,44648.25639991937,-0.78,379220.0,379220.0,0.0
KODEX 2차전지핵심소재10,2025-11-06,5715.0,5790.273556231003,-1.3,368026.0,368026.0,0.0
KODEX 바이오,2025-11-06,11185.0,11315.1239251391,-1.15,367612.0,367612.0,0.0
TIGER 200 중공업,2025-11-06,14080.0,14524.448112234371,-3.06,364528.0,364528.0,0.0
더존비즈온,2025-11-06,86900.0,93400.68787618229,-6.96,364229.0,364229.0,0.0
파미셀,2025-11-06,17620.0,18200.59911166202,-3.19,359734.0,359734.0,0.0
KODEX 미국S&P500,2025-11-06,22190.0,22335.17866129844,-0.65,346634.0,346634.0,0.0
KODEX 삼성그룹,2025-11-06,12965.0,13105.225917315274,-1.07,345991.0,345991.0,0.0
KODEX K방산TOP10레버리지,2025-11-06,7955.0,8854.630454140695,-10.16,341494.0,341494.0,0.0
TIGER 인버스,2025-11-06,2960.0,2930.112848940804,1.02,336003.0,336003.0,0.0
KODEX 한국부동산리츠인프라,2025-11-06,4765.0,4775.02755787153,-0.21,333285.0,333285.0,0.0
ACE 테슬라밸류체인액티브,2025-11-06,22190.0,22944.886774894014,-3.29,330168.0,330168.0,0.0
RISE AI&로봇,2025-11-06,11810.0,11980.117670927166,-1.42,329100.0,329100.0,0.0
신한지주,2025-11-06,79400.0,79201.99501246883,0.25,328200.0,328200.0,0.0
TIGER KRX금현물,2025-11-06,12995.0,12870.15945330296,0.97,322583.0,322583.0,0.0
LG씨엔에스,2025-11-06,55700.0,57198.6034093243,-2.62,322410.0,322410.0,0.0
SOL 금융지주플러스고배당,2025-11-06,17145.0,17174.196133426827,-0.17,315249.0,315249.0,0.0
RISE 200,2025-11-06,56795.0,57409.27928838573,-1.07,309392.0,309392.0,0.0
PLUS K방산,2025-11-06,51995.0,54302.872062663184,-4.25,306847.0,306847.0,0.0
KoAct 바이오헬스케어액티브,2025-11-06,19135.0,19359.571023876975,-1.16,304126.0,304126.0,0.0
TIGER 조선TOP10,2025-11-06,26860.0,27330.07733007733,-1.72,302207.0,302207.0,0.0
KB금융,2025-11-06,126200.0,125297.85544082604,0.72,294672.0,294672.0,0.0
SOL AI반도체소부장,2025-11-06,16920.0,17409.19847720959,-2.81,294633.0,294633.0,0.0
KODEX AI반도체,2025-11-06,16475.0,16824.9591503268,-2.08,293752.0,293752.0,0.0
기업은행,2025-11-06,20050.0,20100.250626566416,-0.25,290643.0,290643.0,0.0
PLUS 고배당주,2025-11-06,20370.0,20449.75404075896,-0.39,287682.0,287682.0,0.0
RISE 코리아밸류업,2025-11-06,16555.0,16710.406783082668,-0.93,286303.0,286303.0,0.0
금호타이어,2025-11-06,5100.0,4975.124378109454,2.51,280370.0,280370.0,0.0
일진전기,2025-11-06,62100.0,61200.354784665426,1.47,275791.0,275791.0,0.0
