종목명,현재가,전일비,등락률,거래량,거래대금,market,code,name,close,volume,trading_value,change_rate,change,trade_date,listed_shares_x,market_cap,stock_kind,sector_name,listed_shares_y,security_group,history_days,avg_trading_value,std_trading_value,avg_volume,std_volume,tv_ratio,tv_z,vol_ratio,vol_z,tv_z_rel,size_bucket,rank_overall,rank_in_bucket,is_top_bucket,pattern_label,signal_tone,signal_strength,market_tv_today,market_tv_mean,market_tv_std,market_tv_z,market_ret_today,market_ret_mean,market_ret_std,market_ret_z,market_regime,window_days,min_history_days
테크윙,"47,450",상승100,+0.21%,"392,702",,KOSDAQ,089030,테크윙,47450,392702,18633709900,0.21,100,2025-12-03,37053645.0,1758195455250.0,보통주,중견기업부,37053645.0,주권,54,48842525338.888885,29939633193.013683,870143.5185185185,599007.0972601477,0.38150586544638926,-1.0089908331254378,0.45130715984485315,-0.7970548607893482,-0.4163720233676008,mid,1482.0,267.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
메타바이오메드,"5,090",하락40,-0.78%,"180,585",,KOSDAQ,059210,메타바이오메드,5090,180585,919177650,-0.78,40,2025-12-03,28094301.0,142999992090.0,보통주,우량기업부,28094301.0,주권,54,2380018498.888889,1446651057.596596,412223.75925925927,240495.8822232455,0.3862060947967917,-1.0098087173252872,0.43807518597302625,-0.9631714153186023,-0.4171899075674502,small,1483.0,1149.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
엘오티베큠,"12,820",상승20,+0.16%,"44,564",,KOSDAQ,083310,엘오티베큠,12820,44564,571310480,0.16,20,2025-12-03,17810033.0,228324623060.0,보통주,우량기업부,17810033.0,주권,54,2335617906.0185184,1741133422.6582685,171797.57407407407,119538.72207571237,0.2446078523922184,-1.0133097228843435,0.25939830780605383,-1.0643712084648855,-0.4206909131265065,small,1484.0,1150.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
제룡산업,"6,110",상승50,+0.83%,"34,272",,KOSDAQ,147830,제룡산업,6110,34272,209401920,0.83,50,2025-12-03,20000000.0,122200000000.0,보통주,벤처기업부,20000000.0,주권,54,732440603.425926,513143540.2936446,117025.4074074074,77194.16541851511,0.28589611092085976,-1.01928338243646,0.29285948034076803,-1.0720163494061028,-0.426664572678623,small,1485.0,1151.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
덕산네오룩스,"42,600",상승850,+2.04%,"84,939",,KOSDAQ,213420,덕산네오룩스,42600,84939,3618401400,2.04,850,2025-12-03,24831179.0,1057808225400.0,보통주,우량기업부,24831179.0,주권,54,9036039324.537037,5298342868.164268,209952.90740740742,110562.29193182309,0.40044108597163386,-1.0225155410552171,0.40456215181235083,-1.1307101654920082,-0.42989673129738015,small,1486.0,1152.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
GKL,"14,950",하락80,-0.53%,"172,370",,KOSPI,114090,GKL,14950,172370,2576931500,-0.53,80,2025-12-03,61855670.0,924742266500.0,보통주,-,61855670.0,주권,54,5030157796.296296,2398034528.3194604,326320.18518518517,153230.4320072709,0.5122963541814521,-1.023015418387455,0.5282235296053808,-1.0046971947313972,-0.4303966086296179,small,1487.0,1153.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
원익QnC,"21,800",하락50,-0.23%,"151,076",,KOSDAQ,074600,원익QnC,21800,151076,3293456800,-0.23,50,2025-12-03,26288000.0,573078400000.0,보통주,우량기업부,26288000.0,주권,54,7205415675.0,3818989410.3067493,311269.1296296296,150163.21567711685,0.45708074989025527,-1.0243439964620857,0.4853549087240392,-1.0667934148005942,-0.43172518670424875,small,1488.0,1154.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
미래에셋생명,"9,470",상승120,+1.28%,"43,454",,KOSPI,085620,미래에셋생명,9470,43454,411509380,1.28,120,2025-12-03,177016189.0,1676343309830.0,보통주,-,177016189.0,주권,54,1346829969.2592592,910578843.7122691,155485.7962962963,100768.66572827008,0.30553922127700006,-1.0271714478299567,0.27947247295304933,-1.1117721514582524,-0.43455263807211975,small,1489.0,1155.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
넥써쓰,"2,205",상승10,+0.46%,"118,997",,KOSDAQ,205500,넥써쓰,2205,118997,262388385,0.46,10,2025-12-03,59724193.0,131691845565.0,보통주,중견기업부,59724193.0,주권,54,833515570.9074074,550959747.8291762,325819.5740740741,224197.36373920107,0.31479722054184384,-1.0366041950572478,0.36522360677123217,-0.9225022570500058,-0.4439853852994108,small,1490.0,1156.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
세아홀딩스,"120,400","상승1,400",+1.18%,405,,KOSPI,058650,세아홀딩스,120400,405,48762000,1.18,1400,2025-12-03,4000000.0,481600000000.0,보통주,-,4000000.0,주권,54,126066482.4074074,74554243.68264583,1053.4444444444443,615.6435708178135,0.38679591171915534,-1.0368890969703681,0.3844531167598355,-1.0532789997027965,-0.44427028721253115,small,1491.0,1157.0,False,normal,⚪,0,22755797075304.0,25596547954628.61,4793555034956.503,-0.592618809757837,1.0026659194211034,0.39637629273740743,1.6343775938938314,0.37096055951136603,normal,60,20
