code,name,abbr,name_eng,isin,market,market_type,security_group,sector_name,stock_kind,par_value,listed_shares,list_date,isu_cd,short_code,source_market
151860,케이지에코솔루션,KG에코솔루션,KG Eco Solution,KR7151860004,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,49603002,2013-07-24,KR7151860004,151860,KOSDAQ
035600,케이지이니시스,KG이니시스,"KGINICIS CO.,LTD.",KR7035600006,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,27904434,2002-11-22,KR7035600006,035600,KOSDAQ
036030,케이티알파,케이티알파,kt alpha,KR7036030005,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,1000.0,49019283,1999-12-24,KR7036030005,036030,KOSDAQ
064820,케이프,케이프,CAPE INDUSTRIES LTD.,KR7064820004,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,30901728,2007-05-29,KR7064820004,064820,KOSDAQ
256940,케이피에스,케이피에스,KPS Corporation,KR7256940008,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,18748658,2017-09-06,KR7256940008,256940,KOSDAQ
024880,케이피에프,케이피에프,KPF,KR7024880007,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,20682798,1994-12-29,KR7024880007,024880,KOSDAQ
042040,케이피엠테크,케이피엠테크,"KPM TECH CO., LTD.",KR7042040006,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,100.0,174460917,2003-01-07,KR7042040006,042040,KOSDAQ
054410,케이피티유,케이피티유,"Korea Plasma Technology U Co.,Ltd",KR7054410006,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,5726444,2002-04-25,KR7054410006,054410,KOSDAQ
258610,케일럼,케일럼,CAELUM,KR7258610005,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,26787133,2017-08-22,KR7258610005,258610,KOSDAQ
274090,켄코아에어로스페이스,켄코아에어로스페이스,Kencoa Aerospace Corporation,KR7274090000,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,500.0,12913226,2020-03-03,KR7274090000,274090,KOSDAQ
089010,켐트로닉스,켐트로닉스,"CHEMTRONICS Co., Ltd.",KR7089010003,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,15334346,2007-01-17,KR7089010003,089010,KOSDAQ
220260,켐트로스,켐트로스,"Chemtros Co., Ltd.",KR7220260004,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,100.0,26558307,2015-07-27,KR7220260004,220260,KOSDAQ
052400,코나아이,코나아이,"KONA I CO.,LTD.",KR7052400009,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,500.0,14899999,2001-10-18,KR7052400009,052400,KOSDAQ
402030,코난테크놀로지,코난테크놀로지,KONAN TECHNOLOGY INCORPORATION,KR7402030001,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,500.0,11421688,2022-07-07,KR7402030001,402030,KOSDAQ
391710,코닉오토메이션,코닉오토메이션,Kornic Automation,KR7391710001,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,100.0,41503222,2021-10-15,KR7391710001,391710,KOSDAQ
046070,코다코,코다코,"KODACO CO., LTD",KR7046070009,KOSDAQ,KOSDAQ,주권,관리종목(소속부없음),보통주,500.0,42786056,2000-12-26,KR7046070009,046070,KOSDAQ
047770,코데즈컴바인,코데즈컴바인,"Codes Combine Co.,Ltd.",KR7047770003,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,37842602,2001-09-18,KR7047770003,047770,KOSDAQ
080530,코디,코디,"KODI Co.,LTD.",KR7080530009,KOSDAQ,KOSDAQ,주권,벤처기업부,보통주,500.0,40741730,2010-01-05,KR7080530009,080530,KOSDAQ
104540,코렌텍,코렌텍,"Corentec Co., Ltd.",KR7104540000,KOSDAQ,KOSDAQ,주권,기술성장기업부,보통주,500.0,12785740,2013-03-05,KR7104540000,104540,KOSDAQ
027050,코리아나화장품,코리아나,"COREANA COSMETICS CO.,LTD",KR7027050004,KOSDAQ,KOSDAQ,주권,중견기업부,보통주,500.0,40000000,1999-12-10,KR7027050004,027050,KOSDAQ
190650,코리아에셋투자증권,코리아에셋투자증권,"KOREA ASSET INVESTMENT SECURITIES CO.,LTD.",KR7190650002,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,5000.0,6388000,2019-11-20,KR7190650002,190650,KOSDAQ
123410,코리아에프티,코리아에프티,KOREA FUEL-TECH CORPORATION,KR7123410003,KOSDAQ,KOSDAQ,주권,우량기업부,보통주,100.0,27841064,2010-08-27,KR7123410003,123410,KOSDAQ
